,Ticker,SMA200_value,SMA150_value,SMA50_value,SMA21_value,SMA200_percent,SMA50_percent,EPS_QoQ_percent,Sales_QoQ_percent,prev_close,week52_high,week52_low,Inst. Ownership,Shares Outstanding,volume,Relative Strength Value,SMA50_greater_SMA150_rule (1st),SMA50_greater_SMA150_rule_score,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule (1st),SMA150_greater_SMA200_rule_score,SMA150_greater_SMA200_rule_nvalue,week52_span_rule (1st),week52_span_rule_score,week52_span_rule_nvalue,rs_value_rule (1st),rs_value_rule_score,rs_value_rule_nvalue,overextended_sma21_rule (1st),overextended_sma21_rule_percentage,overextended_sma21_rule_score,overextended_sma21_rule_nvalue,liquidity_rule (1st),liquidity_rule_score,liquidity_rule_nvalue,close_above_52weekhigh_rule (1st),close_above_52weekhigh_rule_score,close_above_52weekhigh_rule_nvalue,prev_close_rule (1st),prev_close_rule_score,prev_close_rule_nvalue,SMA200_slope_rule (1st),SMA200_slope_rul_score,SMA200_slope_rul_nvalue,inst_ownership_rule (1st),inst_ownership_rule_score,inst_ownership_rule_nvalue,close_greater_SMA50_rule (1st),close_greater_SMA50_rule_score,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule (1st),sales_QoQ_yearly_rule_score,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule (2nd),eps_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_nvalue,Primary Passed Tests,Secondary Passed Tests,Lwowski Rating,N-Value Rating
1257,ONTO,50.7,56.33,64.49,67.96,0.57,0.12,2.98,0.58,69.83,72.0,28.33,0.97,48930000.0,157120.0,7.0,True,1187.0,8192.0,True,455.0,4096.0,True,1075.0,2048.0,True,6144.0,1024.0,True,0.02751618599175993,11.0,512,True,5.0,256,True,38.0,128.0,True,19.0,64.0,True,0.0,32.0,True,294.0,16.0,True,1.0,8.0,True,5.0,4.0,True,31.0,2,12,1,9265.0,16382.0
1122,BLDR,39.43,41.59,45.64,47.17,0.37,0.09,2.35,0.43,47.82,49.0,12.95,0.68,206430000.0,1619224.0,4.0,True,798.0,8192.0,True,224.0,4096.0,True,2602.0,2048.0,True,3072.0,1024.0,True,0.01377994488022045,18.0,512,True,9.0,256,True,39.0,128.0,True,19.0,64.0,True,0.0,32.0,True,202.0,16.0,True,0.0,8.0,True,3.0,4.0,True,24.0,2,12,1,7010.0,16382.0
1623,UHAL,472.17,508.01,600.65,613.45,0.42,0.06,4.92,0.26,616.5,621.0,252.54,0.37,19610000.0,58614.0,4.0,True,1494.0,8192.0,True,311.0,4096.0,True,974.0,2048.0,True,3072.0,1024.0,True,0.004971880348846612,22.0,512,True,11.0,256,True,41.0,128.0,True,21.0,64.0,True,0.0,32.0,True,102.0,16.0,True,0.0,8.0,True,0.0,4.0,True,53.0,2,12,1,6101.0,16382.0
1396,WD,86.19,94.28,104.13,105.6,0.44,0.06,0.93,0.61,107.96,112.0,32.69,0.78,30640000.0,106012.0,3.0,True,856.0,8192.0,True,384.0,4096.0,True,2162.0,2048.0,True,2048.0,1024.0,True,0.022348484848484843,13.0,512,True,7.0,256,True,37.0,128.0,True,18.0,64.0,True,0.0,32.0,True,234.0,16.0,True,0.0,8.0,True,6.0,4.0,True,8.0,2,12,1,5773.0,16382.0
1083,FNF,37.55,39.18,40.89,42.44,0.24,0.11,1.23,0.6,44.36,45.0,24.3,0.83,292000000.0,1407396.0,5.0,True,358.0,8192.0,True,178.0,4096.0,True,228.0,2048.0,True,4096.0,1024.0,True,0.04524033930254481,2.0,512,True,1.0,256,True,40.0,128.0,True,20.0,64.0,True,0.0,32.0,True,250.0,16.0,True,1.0,8.0,True,6.0,4.0,True,12.0,2,12,1,5192.0,16382.0
1391,FND,90.93,95.25,97.29,101.7,0.29,0.1,0.59,0.37,105.22,113.0,33.1,0.97,103840000.0,633279.0,2.0,True,175.0,8192.0,True,195.0,4096.0,True,2147.0,2048.0,True,1024.0,1024.0,True,0.034611602753195636,8.0,512,True,4.0,256,True,31.0,128.0,True,15.0,64.0,True,0.0,32.0,True,294.0,16.0,True,1.0,8.0,True,2.0,4.0,True,5.0,2,12,1,3901.0,16382.0
1128,AVNT,40.17,43.06,47.85,48.49,0.39,0.07,8.68,0.51,49.37,51.0,19.31,0.96,91300000.0,225856.0,2.0,True,911.0,8192.0,True,295.0,4096.0,True,1197.0,2048.0,True,1024.0,1024.0,True,0.01814807176737462,16.0,512,True,8.0,256,True,37.0,128.0,True,19.0,64.0,True,0.0,32.0,True,291.0,16.0,True,0.0,8.0,True,4.0,4.0,True,94.0,2,12,1,3896.0,16382.0
1172,APAM,48.38,50.33,51.23,53.12,0.28,0.11,0.52,0.25,53.94,57.0,21.97,0.84,56970000.0,1191433.0,3.0,True,146.0,8192.0,True,165.0,4096.0,True,1140.0,2048.0,True,2048.0,1024.0,True,0.015436746987951814,17.0,512,True,8.0,256,True,34.0,128.0,True,17.0,64.0,True,0.0,32.0,True,253.0,16.0,True,0.0,8.0,True,4.0,4.0,True,4.0,2,12,1,3836.0,16382.0
1335,SPB,74.16,78.73,84.63,87.6,0.32,0.07,3.08,0.31,89.32,92.0,35.41,0.99,42900000.0,198051.0,2.0,True,614.0,8192.0,True,252.0,4096.0,True,1145.0,2048.0,True,1024.0,1024.0,True,0.019634703196347022,15.0,512,True,7.0,256,True,38.0,128.0,True,19.0,64.0,True,0.0,32.0,True,301.0,16.0,True,0.0,8.0,True,1.0,4.0,True,32.0,2,12,1,3448.0,16382.0
1519,MKSI,151.22,163.18,175.38,187.55,0.34,0.1,1.7,0.32,185.74,197.0,85.2,0.98,55100000.0,327306.0,2.0,True,612.0,8192.0,True,324.0,4096.0,True,793.0,2048.0,True,1024.0,1024.0,True,-0.009650759797387375,29.0,512,True,15.0,256,True,33.0,128.0,True,16.0,64.0,True,0.0,32.0,True,298.0,16.0,True,0.0,8.0,True,1.0,4.0,True,17.0,2,12,1,3162.0,16382.0
1568,LH,218.94,225.69,245.47,253.34,0.25,0.07,3.12,0.52,253.12,259.0,138.53,0.94,97300000.0,727385.0,2.0,True,718.0,8192.0,True,126.0,4096.0,True,249.0,2048.0,True,1024.0,1024.0,True,-0.0008683982000473627,25.0,512,True,12.0,256,True,39.0,128.0,True,19.0,64.0,True,0.0,32.0,True,285.0,16.0,True,0.0,8.0,True,4.0,4.0,True,33.0,2,12,1,2534.0,16382.0
1007,WLL,25.41,28.32,34.5,34.69,0.2,0.1,1.0,-0.44,34.81,37.0,0.32,0.87,38170000.0,425212.0,10.0,True,1788.0,8192.0,True,469.0,4096.0,True,140032.0,2048.0,True,9216.0,1024.0,True,0.0034592101470165624,23.0,512,True,11.0,256,True,33.0,128.0,True,16.0,64.0,True,0.0,32.0,True,262.0,16.0,True,0.0,8.0,False,0.0,0.0,True,9.0,2,11,1,151859.0,16378.0
1078,VRTV,24.49,27.29,39.65,43.11,1.03,0.29,7.73,-0.1,44.03,46.0,7.19,0.92,15870000.0,135210.0,32.0,True,3710.0,8192.0,True,468.0,4096.0,True,5814.0,2048.0,True,31744.0,1024.0,True,0.02134075620505687,14.0,512,True,7.0,256,True,35.0,128.0,True,18.0,64.0,True,0.0,32.0,True,278.0,16.0,True,1.0,8.0,False,0.0,0.0,True,84.0,2,11,1,42173.0,16378.0
605,CRIS,6.89,8.83,10.92,11.63,1.41,0.14,0.56,-0.09,11.87,13.0,0.71,0.71,66030000.0,1661823.0,7.0,True,1939.0,8192.0,True,1153.0,4096.0,True,20451.0,2048.0,True,6144.0,1024.0,True,0.02063628546861551,14.0,512,True,7.0,256,True,28.0,128.0,True,14.0,64.0,True,0.0,32.0,True,211.0,16.0,True,1.0,8.0,False,0.0,0.0,True,4.0,2,11,1,29966.0,16378.0
1058,OLN,25.99,29.1,36.05,39.29,0.97,0.25,0.57,0.19,40.27,42.0,9.79,0.88,158200000.0,1853253.0,23.0,True,1957.0,8192.0,True,490.0,4096.0,True,3224.0,2048.0,True,22528.0,1024.0,True,0.02494273351997974,12.0,512,True,6.0,256,True,36.0,128.0,True,18.0,64.0,True,0.0,32.0,True,266.0,16.0,True,1.0,8.0,False,0.0,0.0,True,4.0,2,11,1,28542.0,16378.0
1458,SI,79.06,99.17,140.86,145.07,1.38,-0.02,1.46,0.1,141.32,176.0,9.59,0.43,18740000.0,1548583.0,2.0,True,3444.0,8192.0,True,1042.0,4096.0,True,20503.0,2048.0,True,1024.0,1024.0,True,-0.025849589853174332,37.0,512,True,18.0,256,True,9.0,128.0,True,5.0,64.0,True,0.0,32.0,True,122.0,16.0,True,0.0,8.0,False,0.0,0.0,True,14.0,2,11,1,26218.0,16378.0
966,AA,21.82,24.75,30.37,31.91,0.72,0.18,0.99,-0.02,33.39,33.0,6.66,0.8,186000000.0,5873192.0,17.0,True,1860.0,8192.0,True,550.0,4096.0,True,4041.0,2048.0,True,16384.0,1024.0,True,0.04638044500156692,2.0,512,True,1.0,256,True,45.0,128.0,True,22.0,64.0,True,0.0,32.0,True,240.0,16.0,True,1.0,8.0,False,0.0,0.0,True,9.0,2,11,1,23155.0,16378.0
1422,SNX,86.88,91.83,106.7,118.12,0.53,0.2,0.29,0.21,121.12,121.0,35.11,0.77,51150000.0,163266.0,16.0,True,1327.0,8192.0,True,233.0,4096.0,True,2187.0,2048.0,True,15360.0,1024.0,True,0.025397900440230273,12.0,512,True,6.0,256,True,43.0,128.0,True,21.0,64.0,True,0.0,32.0,True,230.0,16.0,True,1.0,8.0,False,0.0,0.0,True,1.0,2,11,1,19421.0,16378.0
1624,RH,460.71,489.74,526.46,592.14,0.49,0.19,0.63,0.22,602.67,615.0,119.79,1.0,20490000.0,388361.0,13.0,True,614.0,8192.0,True,258.0,4096.0,True,4261.0,2048.0,True,12288.0,1024.0,True,0.01778295673320494,16.0,512,True,8.0,256,True,39.0,128.0,True,20.0,64.0,True,0.0,32.0,True,304.0,16.0,True,1.0,8.0,False,0.0,0.0,True,5.0,2,11,1,17814.0,16378.0
870,MX,17.24,18.38,22.99,25.38,0.65,0.17,0.21,0.16,25.18,27.0,9.92,0.77,35590000.0,534672.0,14.0,True,2055.0,8192.0,True,271.0,4096.0,True,1297.0,2048.0,True,13312.0,1024.0,True,-0.007880220646178064,28.0,512,True,14.0,256,True,31.0,128.0,True,16.0,64.0,True,0.0,32.0,True,230.0,16.0,True,1.0,8.0,False,0.0,0.0,True,0.0,2,11,1,17255.0,16378.0
998,UNFI,23.0,25.13,33.33,34.67,0.63,0.13,4.41,0.07,35.28,39.0,10.32,0.9,56140000.0,705441.0,11.0,True,2673.0,8192.0,True,379.0,4096.0,True,2596.0,2048.0,True,10240.0,1024.0,True,0.0175944620709547,16.0,512,True,8.0,256,True,26.0,128.0,True,13.0,64.0,True,0.0,32.0,True,272.0,16.0,True,0.0,8.0,False,0.0,0.0,True,47.0,2,11,1,16270.0,16378.0
1323,PAG,64.11,67.53,79.51,82.24,0.48,0.15,0.96,-0.01,86.01,86.0,28.96,0.39,81180000.0,234342.0,12.0,True,1453.0,8192.0,True,219.0,4096.0,True,1601.0,2048.0,True,11264.0,1024.0,True,0.04584143968871608,2.0,512,True,1.0,256,True,43.0,128.0,True,21.0,64.0,True,0.0,32.0,True,109.0,16.0,True,1.0,8.0,False,0.0,0.0,True,9.0,2,11,1,14723.0,16378.0
1539,FTNT,147.68,156.69,182.11,190.99,0.45,0.17,0.31,0.2,199.32,206.0,100.59,0.7,162400000.0,1126381.0,13.0,True,1329.0,8192.0,True,250.0,4096.0,True,468.0,2048.0,True,12288.0,1024.0,True,0.043614848944970856,3.0,512,True,2.0,256,True,37.0,128.0,True,19.0,64.0,True,0.0,32.0,True,208.0,16.0,True,1.0,8.0,False,0.0,0.0,True,1.0,2,11,1,14606.0,16378.0
1482,AGCO,108.56,117.81,139.6,145.49,0.58,0.13,2.23,0.08,150.65,151.0,44.92,0.82,75000000.0,417532.0,10.0,True,1515.0,8192.0,True,349.0,4096.0,True,2083.0,2048.0,True,9216.0,1024.0,True,0.03546635507595021,7.0,512,True,4.0,256,True,42.0,128.0,True,21.0,64.0,True,0.0,32.0,True,246.0,16.0,True,1.0,8.0,False,0.0,0.0,True,23.0,2,11,1,13507.0,16378.0
1034,TPX,28.88,31.0,37.14,37.82,0.49,0.11,2.14,0.21,38.98,39.0,10.2,0.96,205200000.0,1361980.0,9.0,True,1623.0,8192.0,True,301.0,4096.0,True,2650.0,2048.0,True,8192.0,1024.0,True,0.03067160232681112,9.0,512,True,5.0,256,True,43.0,128.0,True,21.0,64.0,True,0.0,32.0,True,291.0,16.0,True,0.0,8.0,False,0.0,0.0,True,22.0,2,11,1,13157.0,16378.0
1215,XEC,43.54,49.38,62.09,61.92,0.69,0.1,1.09,-0.34,64.9,68.0,18.49,0.95,100070000.0,729335.0,8.0,True,2109.0,8192.0,True,549.0,4096.0,True,2471.0,2048.0,True,7168.0,1024.0,True,0.048126614987080166,1.0,512,True,0.0,256,True,35.0,128.0,True,17.0,64.0,True,0.0,32.0,True,288.0,16.0,True,0.0,8.0,False,0.0,0.0,True,10.0,2,11,1,12648.0,16378.0
1444,AMAT,94.32,104.91,123.6,134.31,0.6,0.13,0.27,0.24,134.14,143.0,46.89,0.83,915000000.0,8247285.0,9.0,True,1459.0,8192.0,True,460.0,4096.0,True,1699.0,2048.0,True,8192.0,1024.0,True,-0.0012657285384559296,25.0,512,True,12.0,256,True,32.0,128.0,True,16.0,64.0,True,0.0,32.0,True,250.0,16.0,True,1.0,8.0,False,0.0,0.0,True,1.0,2,11,1,12147.0,16378.0
1267,ATKR,47.09,55.17,71.1,71.73,0.79,0.07,1.49,0.14,72.86,74.0,20.54,1.0,46920000.0,547291.0,7.0,True,2365.0,8192.0,True,703.0,4096.0,True,2379.0,2048.0,True,6144.0,1024.0,True,0.015753520144988084,17.0,512,True,8.0,256,True,40.0,128.0,True,20.0,64.0,True,0.0,32.0,True,304.0,16.0,True,0.0,8.0,False,0.0,0.0,True,15.0,2,11,1,11995.0,16378.0
1028,TX,28.9,31.75,36.53,38.65,0.54,0.12,7.52,0.15,38.83,40.0,12.48,0.2,196310000.0,610552.0,9.0,True,1233.0,8192.0,True,404.0,4096.0,True,1890.0,2048.0,True,8192.0,1024.0,True,0.004657179818887444,22.0,512,True,11.0,256,True,38.0,128.0,True,19.0,64.0,True,0.0,32.0,True,48.0,16.0,True,1.0,8.0,False,0.0,0.0,True,82.0,2,11,1,11940.0,16378.0
988,RRR,25.53,27.78,33.19,33.94,0.56,0.09,5.05,-0.26,34.09,36.0,8.34,0.95,70860000.0,320721.0,7.0,True,1595.0,8192.0,True,361.0,4096.0,True,3256.0,2048.0,True,6144.0,1024.0,True,0.004419563936358447,22.0,512,True,11.0,256,True,34.0,128.0,True,17.0,64.0,True,0.0,32.0,True,288.0,16.0,True,0.0,8.0,False,0.0,0.0,True,54.0,2,11,1,11782.0,16378.0
1362,PWR,73.63,77.84,87.14,90.45,0.47,0.14,0.47,-0.06,94.01,95.0,30.33,0.95,140690000.0,907005.0,9.0,True,979.0,8192.0,True,234.0,4096.0,True,1801.0,2048.0,True,8192.0,1024.0,True,0.03935876174682147,5.0,512,True,3.0,256,True,41.0,128.0,True,20.0,64.0,True,0.0,32.0,True,288.0,16.0,True,1.0,8.0,False,0.0,0.0,True,3.0,2,11,1,11567.0,16378.0
1516,MEDP,141.07,149.17,164.75,170.03,0.39,0.14,0.71,0.13,177.83,185.0,76.17,0.78,35580000.0,361873.0,10.0,True,856.0,8192.0,True,235.0,4096.0,True,936.0,2048.0,True,9216.0,1024.0,True,0.04587425748397348,2.0,512,True,1.0,256,True,36.0,128.0,True,18.0,64.0,True,0.0,32.0,True,234.0,16.0,True,1.0,8.0,False,0.0,0.0,True,6.0,2,11,1,11541.0,16378.0
866,GRBK,21.29,22.2,22.43,24.27,0.32,0.16,0.83,0.1,25.42,27.0,6.95,0.86,50620000.0,343392.0,9.0,True,85.0,8192.0,True,175.0,4096.0,True,2726.0,2048.0,True,8192.0,1024.0,True,0.04738360115368777,1.0,512,True,1.0,256,True,33.0,128.0,True,16.0,64.0,True,0.0,32.0,True,259.0,16.0,True,1.0,8.0,False,0.0,0.0,True,7.0,2,11,1,11496.0,16378.0
1511,CDW,141.9,146.47,163.22,171.01,0.36,0.13,0.3,0.09,178.13,181.0,97.81,0.94,142600000.0,880242.0,10.0,True,937.0,8192.0,True,132.0,4096.0,True,226.0,2048.0,True,9216.0,1024.0,True,0.04163499210572484,4.0,512,True,2.0,256,True,40.0,128.0,True,20.0,64.0,True,0.0,32.0,True,285.0,16.0,True,1.0,8.0,False,0.0,0.0,True,1.0,2,11,1,10864.0,16378.0
1246,SF,52.09,56.43,65.1,66.07,0.5,0.1,0.43,0.1,68.53,69.0,26.25,0.89,106030000.0,418973.0,7.0,True,1259.0,8192.0,True,341.0,4096.0,True,1182.0,2048.0,True,6144.0,1024.0,True,0.037233237475404996,6.0,512,True,3.0,256,True,42.0,128.0,True,21.0,64.0,True,0.0,32.0,True,269.0,16.0,True,0.0,8.0,False,0.0,0.0,True,3.0,2,11,1,9270.0,16378.0
1567,KSU,206.25,214.49,237.03,260.89,0.33,0.13,0.39,-0.05,260.93,267.0,123.93,0.89,91290000.0,1428497.0,8.0,True,861.0,8192.0,True,164.0,4096.0,True,599.0,2048.0,True,7168.0,1024.0,True,0.00015332132316309735,24.0,512,True,12.0,256,True,39.0,128.0,True,19.0,64.0,True,0.0,32.0,True,269.0,16.0,True,1.0,8.0,False,0.0,0.0,True,2.0,2,11,1,9158.0,16378.0
1381,LEN,83.54,85.2,94.74,102.9,0.29,0.11,1.51,0.18,103.04,106.0,39.82,0.95,309020000.0,2264177.0,7.0,True,917.0,8192.0,True,81.0,4096.0,True,1223.0,2048.0,True,6144.0,1024.0,True,0.0013605442176870804,24.0,512,True,12.0,256,True,38.0,128.0,True,19.0,64.0,True,0.0,32.0,True,288.0,16.0,True,1.0,8.0,False,0.0,0.0,True,15.0,2,11,1,8762.0,16378.0
1633,FCNCA,621.75,689.22,818.5,840.48,0.55,0.08,0.43,0.07,837.44,862.0,310.97,0.49,9810000.0,47615.0,6.0,True,1537.0,8192.0,True,444.0,4096.0,True,1358.0,2048.0,True,5120.0,1024.0,True,-0.0036169807728916375,26.0,512,True,13.0,256,True,38.0,128.0,True,19.0,64.0,True,0.0,32.0,True,141.0,16.0,True,0.0,8.0,False,0.0,0.0,True,3.0,2,11,1,8699.0,16378.0
995,SEM,27.63,29.38,33.88,34.42,0.43,0.1,1.4,0.06,34.66,37.0,13.58,0.78,130270000.00000001,371935.0,6.0,True,1255.0,8192.0,True,259.0,4096.0,True,1300.0,2048.0,True,5120.0,1024.0,True,0.006972690296339189,21.0,512,True,10.0,256,True,32.0,128.0,True,16.0,64.0,True,0.0,32.0,True,234.0,16.0,True,0.0,8.0,False,0.0,0.0,True,14.0,2,11,1,8261.0,16378.0
851,AMKR,17.42,19.14,23.35,24.29,0.52,0.06,0.27,0.16,24.64,26.0,8.64,0.39,242340000.0,1204952.0,5.0,True,1802.0,8192.0,True,404.0,4096.0,True,1650.0,2048.0,True,4096.0,1024.0,True,0.01440922190201735,17.0,512,True,9.0,256,True,34.0,128.0,True,17.0,64.0,True,0.0,32.0,True,109.0,16.0,True,0.0,8.0,False,0.0,0.0,True,1.0,2,11,1,8139.0,16378.0
817,FLR,16.98,18.89,21.07,22.38,0.5,0.11,0.61,-0.17,22.53,23.0,7.21,0.71,140650000.0,957974.0,5.0,True,945.0,8192.0,True,461.0,4096.0,True,1872.0,2048.0,True,4096.0,1024.0,True,0.006702412868632803,21.0,512,True,11.0,256,True,39.0,128.0,True,20.0,64.0,True,0.0,32.0,True,211.0,16.0,True,1.0,8.0,False,0.0,0.0,True,5.0,2,11,1,7682.0,16378.0
1469,EXR,118.68,120.25,131.57,136.34,0.25,0.12,0.38,0.05,139.03,142.0,81.81,0.97,131030000.0,529999.0,7.0,True,771.0,8192.0,True,54.0,4096.0,True,85.0,2048.0,True,6144.0,1024.0,True,0.019730086548335028,15.0,512,True,7.0,256,True,39.0,128.0,True,20.0,64.0,True,0.0,32.0,True,294.0,16.0,True,0.0,8.0,False,0.0,0.0,True,2.0,2,11,1,7431.0,16378.0
1418,ENTG,96.29,101.71,108.41,115.87,0.37,0.13,0.51,0.21,118.0,122.0,47.26,0.96,134940000.0,750295.0,6.0,True,540.0,8192.0,True,231.0,4096.0,True,1124.0,2048.0,True,5120.0,1024.0,True,0.01838267023388276,15.0,512,True,8.0,256,True,37.0,128.0,True,19.0,64.0,True,0.0,32.0,True,291.0,16.0,True,1.0,8.0,False,0.0,0.0,True,4.0,2,11,1,7390.0,16378.0
1589,CRL,260.28,268.79,289.45,298.51,0.32,0.12,0.73,0.14,309.17,320.0,135.06,0.95,49750000.0,327258.0,6.0,True,630.0,8192.0,True,134.0,4096.0,True,863.0,2048.0,True,5120.0,1024.0,True,0.035710696459080184,7.0,512,True,3.0,256,True,37.0,128.0,True,18.0,64.0,True,0.0,32.0,True,288.0,16.0,True,1.0,8.0,False,0.0,0.0,True,6.0,2,11,1,7107.0,16378.0
658,ISBC,11.17,12.23,14.38,14.68,0.47,0.08,0.67,-0.09,14.88,15.0,6.85,0.75,236690000.0,1220647.0,5.0,True,1440.0,8192.0,True,389.0,4096.0,True,643.0,2048.0,True,4096.0,1024.0,True,0.01362397820163495,18.0,512,True,9.0,256,True,41.0,128.0,True,21.0,64.0,True,0.0,32.0,True,224.0,16.0,True,0.0,8.0,False,0.0,0.0,True,5.0,2,11,1,6886.0,16378.0
