,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),Double Bottom Chart Pattern,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern,week52_low,week52_high,SMA200_percent,SMA150_value,SMA200_value,volume,EPS_QoQ_percent,Shares Outstanding,prev_close,Sales_QoQ_percent,SMA50_value,Inst. Ownership,Relative Strength Value,SMA50_percent,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,week52_span_rule_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,close_above_52weekhigh_rule_nvalue,prev_close_rule_nvalue,SMA200_slope_rul_nvalue,inst_ownership_rule_nvalue,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule_nvalue,SMA50_greater_SMA150_rule_score,SMA150_greater_SMA200_rule_score,week52_span_rule_score,rs_value_rule_score,liquidity_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA200_slope_rul_score,inst_ownership_rule_score,close_greater_SMA50_rule_score,sales_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_score
2151,LPX,8190.0,20866.62456027764,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,15.880000114440918,59.63000106811523,0.6623,41.88831678711542,38.886496314167104,2001370.0,6.374,108000000.0,56.83,0.601,50.80117640775793,0.9590000000000001,24.61391653189293,0.2633,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,871.5335398098654,158.09416921828512,1283.0952388050314,12090.325264329182,6045.162632164591,34.65280048523784,17.32640024261892,0.166893948283783,290.88,0.9493990523135049,5.6160000000000005,68.82222222222222
2332,APPS,8190.0,19167.93887428741,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4.139999866485597,94.73999786376952,0.8906000000000001,62.673762368683775,55.23226272972832,2796918.0,3.245,89000000.0,82.27,1.4609999999999999,80.39617650649127,0.65,6.7571799774303924,0.0538,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1158.236007620489,275.92914914886995,13035.965353794178,2947.6761484443628,1473.8380742221814,20.20294472516689,10.101472362583447,0.3717094479487947,192.0,0.1864589660785601,19.375999999999998,34.05555555555556
774,AR,8190.0,18303.358019656884,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.9399999976158142,10.859999656677246,0.9827,7.019504955499477,6.058613141957861,6959523.0,1.162,268670000.0,10.86,0.374,9.719705918255974,0.722,14.067024686337247,0.1321,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1575.6129831898688,324.81136986694924,6074.280644666085,6690.31663940467,3345.158319702336,42.66667206203976,21.33333603101988,0.3044015793804597,215.04,0.9385420434190508,1.984,10.911111111111113
2104,KLIC,8190.0,18234.4240870082,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,20.200000762939453,55.59000015258789,0.7668,39.05316817406381,35.35021887730508,2010941.0,2.6689999999999996,61970000.0,51.39,0.857,48.15558826222139,0.905,21.88803735642895,0.2258,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,954.6859941021223,214.52880351557255,666.8165744435311,10694.67512649162,5347.33756324581,29.77226076499125,14.886130382495624,0.2167515869008183,273.6,0.5373269195950893,9.712,27.655555555555548
1022,HIMX,8190.0,15986.491295698115,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,2.9600000381469727,15.949999809265135,1.1301,9.630495045444754,8.053065689810872,2833848.0,31.824,173770000.0,13.77,0.5770000000000001,13.177647057701561,0.161,15.80191507942239,0.1216,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1508.6591679496466,401.1609298587581,2286.702620445681,7578.580520664262,3789.2902603321318,19.34044063341434,9.67022031670717,0.3755247477643875,35.52,0.3596107497520172,5.232000000000001,351.6
1560,HOME,8190.0,15185.831514336922,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,1.5499999523162842,33.31999969482422,0.5014,21.768118773356523,20.789343012510425,1627329.0,1.308,64879999.99999999,27.75,0.413,27.34147055008832,0.935,3.0015831518676928,0.0231,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1048.7102314709311,96.42116910604335,12183.618349863433,1024.8105737562587,512.4052868781293,14.13685604371927,7.068428021859635,0.19975185375752028,283.2,0.11953400945666676,2.608,12.533333333333335
2319,INMD,8190.0,14823.777505931315,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,21.979999542236328,79.73999786376953,0.7461,57.39940605541268,52.368540241770496,1032365.0,0.879,37600000.0,75.86,0.6,70.55029409071979,0.41200000000000003,17.018291692521142,0.17190000000000005,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,938.4424176901127,196.7443266276314,1204.9470294736568,8201.365346570823,4100.682673285412,34.362348635273754,17.181174317636877,0.243432370621574,115.84,0.6020902934808491,5.6,7.7666666666666675
1196,TRQ,8190.0,14260.744045093736,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4.099999904632568,18.0,0.6159,12.991782169530888,11.69883212555934,959626.0,0.414,201230000.0,16.64,0.8290000000000001,15.861764739541444,0.385,15.702989108162589,0.1891,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,904.8372619988068,226.3441052606032,1673.3659164002092,7527.930423379245,3763.9652116896227,29.77185185185185,14.885925925925925,0.18683979756321195,107.2,0.39250878990457305,9.264,2.6
1325,WBAI,8190.0,13897.572759732144,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,2.549999952316284,27.020000457763672,1.5215,12.60693073272705,10.07452557904877,1499450.0,0.828,43000000.0,22.75,1.0,22.028823628145105,0.08900000000000001,7.223060517888569,0.0238,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,3061.1791337481523,514.7999986737652,5486.2308202674485,3186.206985158947,1593.1034925794736,15.696025199402163,7.8480125997010814,0.5663886877350001,12.480000000000002,0.2619028175189473,12.0,7.1999999999999975
2821,LRCX,8190.0,12228.161799270314,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,234.5200042724609,660.7999877929688,0.5372,516.3967327457843,472.191386424712,2331800.0,0.738,143830000.0,639.3,0.33799999999999997,563.7285281910616,0.873,14.835939292640909,0.1987,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,375.4304042804548,191.72850642414463,707.1764672676794,7084.000917832145,3542.000458916073,37.11380450295,18.556902251475,0.1138858185315257,263.36,1.0724519768611076,1.4079999999999997,6.200000000000001
2254,ONTO,8190.0,11972.317756931714,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,28.32999992370605,71.62000274658203,0.6408,54.17811882849967,48.40919703462698,435624.0,2.975,48930000.0,69.92,0.581,62.929411832024066,0.977,14.210165456719782,0.1702,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,661.6194308241653,244.06006621841286,529.2414333216701,6763.604713840528,3381.802356920264,38.61565031708715,19.307825158543576,0.18603531032729587,296.64,0.8886894651595643,5.295999999999999,31.055555555555557
2253,HIBB,8190.0,11916.747430064752,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,11.270000457763672,76.04000091552734,0.6359,55.1148512811944,52.15875895702056,316643.0,2.989,16540000.0,69.45,2.785,67.32705834332634,0.95,10.595708421278085,0.1184,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,907.5811503379676,116.07019033747845,3121.4280980367,4913.002711694378,2456.501355847189,27.875852936499143,13.937926468249572,0.3267790949888685,287.99999999999994,0.2522542001877428,40.56,31.211111111111112
1594,VIVO,8190.0,11278.299645972236,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,8.670000076293945,29.88999938964844,0.3749,21.998613801332983,20.936934248374328,1128651.0,0.557,42960000.0,28.3,0.264,24.277647018432607,0.935,13.131024450442276,0.1617,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,424.34128538928496,103.85091239555055,1094.156339492214,6211.084518626445,3105.5422593132225,33.588048353703066,16.794024176851533,0.003918651824566131,283.2,1.3254506842490767,0.2240000000000002,4.18888888888889
1212,GHL,8190.0,10766.962603830072,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,8.229999542236326,18.68000030517578,0.3681,14.100594095664446,13.71474457483222,138135.0,0.805,19000000.0,16.84,0.319,16.297058918896848,0.619,13.332664149764373,0.1588,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,638.0383588749737,57.61826728545346,370.53132756570847,6314.324044679359,3157.1620223396794,25.8558147598286,12.9279073799143,0.10989426069016417,182.08,0.2665222400214073,1.104,6.9444444444444455
799,AXR,8190.0,10111.898459163844,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4.010000228881837,11.380000114440918,0.5689,8.16287128996141,7.591897814813322,8722.0,5.836,7340000.0,11.12,0.491,9.357941178714526,0.364,11.952470211041222,0.1537,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,599.667211505906,154.02653007547582,719.6088955691008,5607.6647480531055,2803.8323740265528,38.76742655960596,19.38371327980298,0.2607511300176477,100.48,1.5063645198312905,3.856,62.84444444444446
2398,DHI,8190.0,9768.717061087531,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,36.540000915527344,92.63999938964844,0.2816,76.210989999299,75.60072961514884,2454199.0,0.853,364400000.0,91.05,0.47600000000000003,82.1123529322007,0.8270000000000001,12.173244050882714,0.1467,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,317.17187473076683,16.531761969782675,533.690591102673,5720.700954051949,2860.3504770259747,39.73747951617911,19.868739758089554,0.06063268236300419,248.64,0.8707724719742482,3.616000000000001,7.477777777777778
2817,UHAL,8190.0,9186.161514188123,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,252.5399932861328,621.2899780273438,0.494,493.008117373627,458.4267143750714,35988.0,4.916,19610000.0,614.25,0.261,584.7967619054458,0.368,10.85067017184642,0.1323,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,762.5965471018872,154.49080762578984,487.52519461542494,5043.5431279853665,2521.771563992684,40.73280385570007,20.366401927850035,0.1739255563982531,101.76,0.4029193048003424,0.17600000000000016,52.62222222222224
2678,MKSI,8190.0,8831.658032719923,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,85.19999694824219,196.8600006103516,0.4351,158.88930783413426,146.72788377747918,446286.0,1.704,55100000.0,195.84,0.321,170.39588299919578,0.977,10.88410525693253,0.1689,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,296.62746045374126,169.74685265550355,395.61019609514676,5060.661891549456,2530.330945774728,41.782382893289935,20.891191446644967,0.10319017226154498,296.64,1.1945883458193325,1.136,16.933333333333334
2142,ARES,8190.0,8763.597586679629,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,29.940000534057607,59.13000106811523,0.319,49.10722758982441,47.27781017331312,589932.0,0.47600000000000003,144660000.0,57.68,0.506,53.49029428818646,0.687,11.233971862740244,0.1509,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,365.5885717362522,79.24747054232233,189.40921871140827,5239.793593723005,2619.8967968615025,38.48153484714814,19.24076742357407,0.08813221828677027,203.84,0.6266117272402211,4.096,3.2888888888888896
2830,SAM,8190.0,8133.439261248979,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,362.5400085449219,1213.6199951171875,0.327,1015.8700960367032,997.5018221444457,92273.0,1.385,12180000.0,1184.68,0.53,1102.452932918773,0.87,9.300837485602266,0.1247,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,349.1030017051948,37.71243730710328,1032.7333464593542,4250.02879262836,2125.01439631418,38.59694754546591,19.298473772732955,0.08629216434916671,262.4,0.596684463352308,4.48,13.388888888888893
2053,KKR,8190.0,7032.868152126644,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,21.84000015258789,51.15999984741211,0.3209,42.682277226212,40.827737293104185,1877193.0,1.6030000000000002,570880000.0,50.35,0.841,47.64882323321174,0.799,8.451268738890905,0.1148,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,476.6140367079087,93.02738860442079,415.22635927845636,3815.0495943121427,1907.524797156072,39.96455614339375,19.982278071696875,0.07851662150971313,239.68,0.45351411992991403,9.456,15.811111111111117
2031,COHU,8190.0,6956.838564395998,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,13.119999885559082,50.54999923706055,0.7204,39.784851678527225,34.313649769247014,1060919.0,1.9,42120000.0,46.0,0.425,43.45882382112391,0.8009999999999999,6.99593388605757,0.1266,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,378.2492396270028,326.5470617540712,1343.2194971156075,3069.918149661476,1534.959074830738,27.304980913055658,13.652490456527829,0.2891733849793432,240.32,0.4677855414284655,2.8,19.11111111111111
2570,EVR,8190.0,6457.647927484711,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,47.61000061035156,142.41000366210938,0.551,112.95594085089053,102.5953288670004,573163.0,1.025,40890000.0,135.81,0.39899999999999997,128.89970689661362,0.871,6.900503862718942,0.11199999999999999,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,578.1516689723275,206.8177331008281,813.7799858917897,3021.057977712099,1510.5289888560494,34.75710556818818,17.37855278409409,0.25414696309887497,262.72,0.4288787473460375,2.3839999999999995,9.388888888888893
1308,TGNA,8190.0,6455.508127517253,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,10.130000114440918,20.6200008392334,0.4068,16.300891035854228,15.201605796813965,1369759.0,1.881,219940000.0,19.5,0.35100000000000003,18.97970575444839,0.91,7.590458898463058,0.0908,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,673.1181174837337,148.09857587718176,226.63458761117766,3374.3149560130864,1687.1574780065432,33.39669566200303,16.698347831001517,0.15406352704340018,275.2,0.21930550548379074,1.6160000000000003,18.9
2774,GNRC,8190.0,5994.0459323552905,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,89.63999938964844,363.4700012207031,0.4854,266.8083157681004,249.90321060514802,480817.0,0.784,62390000.0,323.8,0.28800000000000003,322.80676718319165,0.9490000000000001,5.163152234200363,0.0636,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,859.6795655933519,138.5402584060001,1467.253572852973,2131.533943910586,1065.766971955293,24.039690981570267,12.019845490785134,0.18835713428563533,287.68,0.024614919333328662,0.6080000000000005,6.711111111111113
2482,WD,8190.0,5922.754598719601,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,27.95000076293945,112.19000244140624,0.4779,92.07534654069654,83.11401461858819,205699.0,0.925,30640000.0,105.28,0.61,103.05264686135685,0.778,5.525829600332788,0.0918,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,488.32856788164594,220.81483923859656,1442.1730096049844,2317.2247553703874,1158.6123776851935,32.15497170570745,16.077485852853727,0.19790368066337105,232.96,0.17290992179092693,5.76,8.277777777777779
1998,BLDR,8190.0,5691.343565455015,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,12.8100004196167,47.584999084472656,0.3874,40.60985130838829,38.47485380799231,1471913.0,2.351,206430000.0,47.37,0.435,44.26573517743279,0.674,5.766051035706378,0.1012,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,368.7405849849338,113.64500311376548,1258.2968368313925,2440.2181302816653,1220.1090651408326,41.895558590817046,20.947779295408523,0.16736147361891662,199.68,0.5610235203593413,2.96,24.12222222222222
2682,QRVO,8190.0,5651.994183413172,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,81.18000030517578,198.32000732421875,0.35090000000000005,168.72673231068225,159.1429193872605,1359762.0,0.276,113810000.0,192.9,0.26,176.47999797147858,0.87,6.914085742169982,0.1319,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,188.2178106083752,123.33347247077694,476.95851246543253,3028.011899991032,1514.005949995516,38.0024142000908,19.0012071000454,0.0919161791877998,262.4,0.744333736049795,0.16000000000000014,1.066666666666667
1616,WSC,8190.0,5181.418619624964,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,8.449999809265138,29.09499931335449,0.4237,24.59316829643627,22.74448904329843,2132773.0,2.129,229070000.0,28.98,0.62,26.914705781375666,0.78,5.182109593865892,0.1009,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,386.6528063279125,166.46208684744482,1091.4991694230114,2141.2401120593368,1070.620056029668,41.99209887349411,20.99604943674705,0.1668067748066063,233.6,0.6138782969876568,5.92,21.65555555555556
2733,SMG,8190.0,5059.482126011778,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,101.33999633789062,252.6199951171875,0.4026,209.49653519734298,195.5462776796661,326459.0,1.3419999999999999,55700000.0,250.0,1.046,227.2773531745462,0.655,5.91750997840319,0.1047,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,347.6440809200937,146.10417408714042,507.5742116517888,2517.765108942433,1258.8825544712167,40.896633248979725,20.448316624489863,0.12011406579643448,193.6,0.7998208887271966,12.736,12.911111111111113
2411,MU,8190.0,4529.250884933961,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,41.40999984741211,94.76000213623048,0.4736,78.18029736056188,70.92613161741382,19461385.0,0.483,1120000000.0,92.41,0.3,88.8135295194738,0.858,4.984173018268168,0.0867,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,557.0932881213881,209.46484889526425,381.95376785876647,2039.8965853533014,1019.9482926766507,38.434216031287704,19.217108015643852,0.1921543233037432,258.55999999999995,0.3239569916867325,0.7999999999999998,3.3666666666666667
2021,AVNT,8190.0,4466.345251673062,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,19.290000915527344,51.209999084472656,0.4154,42.11069299678992,38.949270025657036,494094.0,8.677,91300000.0,47.95,0.514,46.92529409071979,0.968,4.6253353083565125,0.0941,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,468.30400255441117,166.2314657146363,607.0742324627755,1856.171677878536,928.085838939268,31.802124838310533,15.901062419155268,0.20504005112149454,293.75999999999993,0.17469570373695298,4.224,94.41111111111113
