,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),week52_low,EPS_QoQ_percent,Sales_QoQ_percent,week52_high,Relative Strength Value,SMA200_value,Shares Outstanding,SMA50_value,SMA200_percent,Inst. Ownership,SMA150_value,SMA50_percent,volume,prev_close,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,week52_span_rule_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,close_above_52weekhigh_rule_nvalue,prev_close_rule_nvalue,SMA200_slope_rul_nvalue,inst_ownership_rule_nvalue,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule_nvalue,SMA50_greater_SMA150_rule_score,SMA150_greater_SMA200_rule_score,week52_span_rule_score,rs_value_rule_score,liquidity_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA200_slope_rul_score,inst_ownership_rule_score,close_greater_SMA50_rule_score,sales_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_score
364,CROX,8190.0,15017.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,25.01,8.19,0.64,109.0,17.0,74.86,65459999.99999999,89.87,0.57,0.98,79.99,0.18,758328.0,103.88,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,506.0,140.0,1654.0,8192.0,0.0,35.0,4096.0,0.0,298.0,1.0,6.0,89.0
188,FCX,8190.0,14931.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,8.74,2.42,0.73,45.0,16.0,30.79,1460000000.0,37.93,0.68,0.8,33.79,0.19,24068520.0,44.18,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,502.0,200.0,2139.0,7680.0,0.0,40.0,4096.0,0.0,240.0,1.0,8.0,25.0
391,MTZ,8190.0,14904.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,36.48,0.85,0.25,120.0,18.0,82.37,72440000.0,103.7,0.67,0.84,90.52,0.18,685336.0,120.17,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,596.0,203.0,997.0,8704.0,0.0,43.0,4096.0,0.0,253.0,1.0,4.0,7.0
270,KTB,8190.0,14032.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,14.04,7.91,0.29,67.0,14.0,47.46,57340000.0,60.35,0.59,0.92,49.83,0.11,360294.0,65.67,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,865.0,102.0,1908.0,6656.0,0.0,39.0,4096.0,0.0,278.0,1.0,1.0,86.0
149,ELY,8190.0,13955.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,13.77,6.24,0.47,35.0,18.0,26.29,117480000.0,29.42,0.46,0.66,28.42,0.2,2018236.0,34.49,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,144.0,166.0,538.0,8704.0,0.0,40.0,4096.0,0.0,195.0,1.0,4.0,67.0
468,EFX,8190.0,13710.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,136.6,0.78,0.27,240.0,18.0,184.58,121800000.0,211.39,0.32,0.94,190.01,0.17,647005.0,237.69,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,461.0,60.0,55.0,8704.0,0.0,41.0,4096.0,0.0,285.0,1.0,0.0,7.0
67,CLF,8190.0,13702.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,4.4,1.41,10.28,21.0,14.0,15.33,490000000.0,18.74,0.61,0.59,16.93,0.13,16177672.0,20.89,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,438.0,214.0,1908.0,6656.0,0.0,42.0,4096.0,0.0,173.0,1.0,160.0,14.0
326,HES,8190.0,12666.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,36.12,1.1,0.4,86.0,15.0,61.95,305800000.0,74.72,0.51,0.85,66.7,0.16,1454117.0,86.42,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,493.0,157.0,439.0,7168.0,0.0,44.0,4096.0,0.0,256.0,1.0,2.0,10.0
100,X,8190.0,12437.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,6.66,1.15,0.33,29.0,12.0,19.09,269660000.0,24.29,0.65,0.57,20.96,0.09,18137235.0,26.36,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,651.0,201.0,1651.0,5632.0,0.0,27.0,4096.0,0.0,166.0,1.0,1.0,11.0
304,CCS,8190.0,12289.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,26.41,2.84,0.67,80.0,13.0,54.79,33560000.0,68.71,0.48,0.96,58.65,0.12,354160.0,77.1,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,703.0,144.0,837.0,6144.0,0.0,36.0,4096.0,0.0,291.0,1.0,7.0,30.0
262,ATH,8190.0,12231.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,26.0,1.54,1.65,63.0,14.0,47.57,191300000.0,56.55,0.42,0.9,49.56,0.13,488732.0,62.2,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,578.0,86.0,465.0,6656.0,0.0,40.0,4096.0,0.0,272.0,1.0,22.0,15.0
75,VALE,8190.0,12219.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,8.98,30.06,1.22,23.0,14.0,17.13,5130000000.0,19.77,0.45,0.23,18.23,0.16,40707875.0,21.59,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,346.0,132.0,550.0,6656.0,0.0,32.0,4096.0,0.0,58.0,1.0,16.0,332.0
167,TRGP,8190.0,11786.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,13.58,1.06,0.77,39.0,13.0,29.5,228500000.0,34.25,0.52,0.87,31.7,0.14,1143263.0,39.05,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,329.0,153.0,740.0,6144.0,0.0,43.0,4096.0,0.0,262.0,1.0,8.0,10.0
162,VSTO,8190.0,11650.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,7.46,4.2,0.35,38.0,10.0,28.65,58300000.0,33.47,0.43,0.93,31.38,0.13,1577278.0,37.78,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,273.0,195.0,2106.0,4608.0,0.0,42.0,4096.0,0.0,282.0,1.0,2.0,45.0
192,DISH,8190.0,11413.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,24.81,6.91,0.4,47.0,13.0,35.06,526570000.00000006,41.21,0.31,0.86,35.83,0.11,2253245.0,45.2,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,615.0,45.0,140.0,6144.0,0.0,36.0,4096.0,0.0,259.0,1.0,2.0,75.0
127,CLR,8190.0,11228.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,11.76,2.41,0.38,32.0,12.0,22.08,360790000.0,27.49,0.57,0.16,24.26,0.12,1215019.0,31.96,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,545.0,202.0,648.0,5632.0,0.0,42.0,4096.0,0.0,35.0,1.0,2.0,25.0
493,POOL,8190.0,11155.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,229.01,2.2,0.57,445.0,13.0,361.63,40220000.0,398.58,0.22,0.98,367.57,0.12,301597.0,435.67,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,346.0,34.0,170.0,6144.0,0.0,39.0,4096.0,0.0,298.0,1.0,5.0,22.0
239,PGNY,8190.0,11084.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,21.91,3.16,0.51,59.0,12.0,44.04,87400000.0,50.47,0.44,0.86,47.75,0.14,1353288.0,52.5,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,233.0,173.0,630.0,5632.0,0.0,24.0,4096.0,0.0,259.0,0.0,4.0,33.0
203,PPD,8190.0,10806.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,25.22,8.94,0.3,46.0,12.0,37.43,349880000.0,43.62,0.27,0.78,38.46,0.11,2387633.0,46.08,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,550.0,56.0,97.0,5632.0,0.0,43.0,4096.0,0.0,234.0,0.0,1.0,97.0
371,AN,8190.0,10636.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,35.78,2.11,0.27,107.0,10.0,79.69,83100000.0,98.62,0.43,0.91,85.36,0.08,509396.0,105.38,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,636.0,146.0,813.0,4608.0,0.0,40.0,4096.0,0.0,275.0,1.0,0.0,21.0
434,LGIH,8190.0,10481.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,78.57,1.36,0.55,183.0,10.0,128.14,24950000.0,165.05,0.34,0.94,134.35,0.06,443029.0,171.04,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,936.0,99.0,407.0,4608.0,0.0,32.0,4096.0,0.0,285.0,0.0,5.0,13.0
344,AMN,8190.0,10241.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,42.3,4.4,0.47,93.0,11.0,73.25,47600000.0,80.25,0.3,1.0,76.0,0.13,401478.0,89.2,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,229.0,77.0,327.0,5120.0,0.0,36.0,4096.0,0.0,304.0,1.0,4.0,47.0
155,MOS,8190.0,10178.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,10.96,1.68,0.28,37.0,9.0,27.82,379200000.0,33.76,0.48,0.77,30.37,0.1,6115622.0,37.06,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,457.0,188.0,1050.0,4096.0,0.0,43.0,4096.0,0.0,230.0,1.0,0.0,17.0
395,EXPD,8190.0,10079.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,71.92,1.35,0.77,121.0,11.0,98.36,169210000.0,112.09,0.25,0.97,101.39,0.1,1594225.0,120.66,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,432.0,63.0,10.0,5120.0,0.0,42.0,4096.0,0.0,294.0,1.0,8.0,13.0
332,YETI,8190.0,10032.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,28.03,2.56,0.42,90.0,9.0,71.92,87180000.0,83.27,0.33,0.99,75.45,0.08,2112414.0,86.01,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,425.0,101.0,949.0,4096.0,0.0,35.0,4096.0,0.0,301.0,0.0,3.0,26.0
147,CNQ,8190.0,9875.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,15.54,2.07,0.47,35.0,10.0,26.89,1190000000.0,31.49,0.44,0.67,28.59,0.11,2019249.0,35.07,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,415.0,129.0,360.0,4608.0,0.0,43.0,4096.0,0.0,198.0,1.0,4.0,21.0
140,BEN,8190.0,9630.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,17.89,3.73,0.58,35.0,10.0,26.77,490500000.0,31.16,0.34,0.49,28.41,0.1,2092948.0,34.6,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,396.0,125.0,178.0,4608.0,0.0,41.0,4096.0,0.0,141.0,1.0,5.0,39.0
283,ADM,8190.0,9597.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,34.82,0.79,0.26,68.0,10.0,54.89,563000000.0,61.69,0.28,0.81,56.79,0.11,1956451.0,67.64,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,353.0,71.0,176.0,4608.0,0.0,42.0,4096.0,0.0,243.0,1.0,0.0,7.0
74,APA,8190.0,9156.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,7.79,1.09,0.39,23.0,8.0,16.8,378000000.0,19.18,0.41,0.85,18.29,0.11,6671105.0,22.16,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,199.0,182.0,790.0,3584.0,0.0,36.0,4096.0,0.0,256.0,1.0,2.0,10.0
122,MPLX,8190.0,8901.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,15.51,1.26,1.36,30.0,9.0,24.13,1040000000.0,27.07,0.33,0.29,25.19,0.1,1553570.0,29.65,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,306.0,90.0,164.0,4096.0,0.0,41.0,4096.0,0.0,77.0,1.0,18.0,12.0
246,HZO,8190.0,8697.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,16.24,6.34,0.7,66.0,5.0,44.64,22140000.0,54.68,0.46,0.99,48.92,0.04,283187.0,59.29,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,482.0,196.0,1473.0,2048.0,0.0,25.0,4096.0,0.0,301.0,1.0,7.0,68.0
405,AFG,8190.0,8465.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,55.88,2.98,0.41,130.0,7.0,102.72,85900000.0,121.87,0.43,0.64,108.2,0.08,323511.0,129.53,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,517.0,109.0,405.0,3072.0,0.0,42.0,4096.0,0.0,189.0,1.0,3.0,31.0
57,FHN,8190.0,8009.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,8.3,9.47,0.46,19.0,6.0,15.24,552250000.0,17.94,0.4,0.87,16.28,0.07,3777582.0,19.18,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,418.0,140.0,382.0,2560.0,0.0,44.0,4096.0,0.0,262.0,1.0,3.0,103.0
475,MOH,8190.0,7958.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,153.07,0.33,0.43,269.0,7.0,225.48,57700000.0,250.64,0.23,0.97,231.17,0.07,253537.0,262.05,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,345.0,52.0,56.0,3072.0,0.0,38.0,4096.0,0.0,294.0,0.0,3.0,2.0
417,EVR,8190.0,7788.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,51.19,3.41,0.54,148.0,5.0,117.84,41360000.0,138.71,0.43,0.89,126.77,0.05,319926.0,146.86,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,386.0,155.0,752.0,2048.0,0.0,41.0,4096.0,0.0,269.0,0.0,5.0,36.0
182,CWH,8190.0,7784.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,17.81,7.44,0.52,48.0,5.0,35.09,43580000.0,41.91,0.27,0.82,37.19,0.04,1294955.0,45.3,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,520.0,123.0,632.0,2048.0,0.0,33.0,4096.0,0.0,246.0,1.0,4.0,81.0
430,MRNA,8190.0,7561.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,52.18,9.07,39.61,186.0,3.0,139.11,400000000.0,156.29,0.37,0.55,147.57,0.06,4798385.0,160.43,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,242.0,125.0,1166.0,1024.0,0.0,19.0,4096.0,0.0,160.0,0.0,630.0,99.0
337,BG,8190.0,7557.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,35.14,4.75,0.41,91.0,5.0,72.67,140340000.0,84.13,0.36,0.82,76.88,0.07,969978.0,89.54,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,386.0,119.0,567.0,2048.0,0.0,40.0,4096.0,0.0,246.0,1.0,3.0,51.0
233,KKR,8190.0,7510.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,25.85,2.15,1.76,59.0,5.0,45.14,576730000.0,53.95,0.31,0.82,47.48,0.05,2849122.0,55.44,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,558.0,106.0,378.0,2048.0,0.0,32.0,4096.0,0.0,246.0,0.0,24.0,22.0
63,SWBI,8190.0,7431.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,7.64,9.89,1.02,23.0,5.0,17.75,55140000.0,18.52,0.11,0.69,18.3,0.07,897868.0,20.39,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,49.0,63.0,826.0,2048.0,0.0,23.0,4096.0,0.0,205.0,1.0,12.0,108.0
202,FNF,8190.0,7428.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,27.07,1.36,0.92,47.0,6.0,39.79,289000000.0,44.58,0.22,0.84,41.18,0.06,1771143.0,46.75,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,338.0,72.0,43.0,2560.0,0.0,42.0,4096.0,0.0,253.0,0.0,11.0,13.0
230,OKE,8190.0,7352.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,24.48,3.52,0.49,55.0,5.0,44.07,445890000.0,51.97,0.39,0.68,47.06,0.05,1988459.0,55.01,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,427.0,139.0,356.0,2048.0,0.0,43.0,4096.0,0.0,202.0,0.0,4.0,37.0
491,GS,8190.0,7221.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,177.83,4.98,0.58,371.0,5.0,294.63,356600000.0,344.06,0.38,0.74,318.17,0.07,2005823.0,369.25,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,333.0,164.0,258.0,2048.0,0.0,42.0,4096.0,0.0,221.0,1.0,5.0,53.0
51,ABR,8190.0,7195.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,7.2,1.9,0.87,18.0,5.0,15.23,125230000.0,16.86,0.27,0.43,15.83,0.07,2121186.0,17.74,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,267.0,81.0,512.0,2048.0,0.0,40.0,4096.0,0.0,122.0,0.0,10.0,19.0
317,UFPI,8190.0,7148.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,41.04,1.55,0.77,89.0,4.0,64.66,61750000.0,81.42,0.27,0.85,68.38,0.02,309535.0,82.18,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,781.0,118.0,308.0,1536.0,0.0,30.0,4096.0,0.0,256.0,0.0,8.0,15.0
372,FBHS,8190.0,7107.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,57.62,0.63,0.26,112.0,5.0,91.04,138600000.0,103.2,0.17,0.9,93.41,0.05,1011469.0,106.34,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,429.0,53.0,170.0,2048.0,0.0,34.0,4096.0,0.0,272.0,0.0,0.0,5.0
335,MS,8190.0,7094.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,39.33,1.17,0.35,88.0,5.0,73.09,1790000000.0,81.79,0.32,0.67,77.72,0.06,6600649.0,88.09,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,214.0,130.0,351.0,2048.0,0.0,43.0,4096.0,0.0,198.0,1.0,2.0,11.0
393,ARW,8190.0,7048.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,64.81,3.46,0.31,121.0,5.0,103.01,74880000.0,115.56,0.25,0.99,107.33,0.06,476529.0,121.24,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,314.0,86.0,123.0,2048.0,0.0,43.0,4096.0,0.0,301.0,0.0,1.0,36.0
490,LII,8190.0,7037.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,189.27,5.82,0.29,354.0,5.0,299.52,38000000.0,334.5,0.16,0.73,303.39,0.05,241185.0,348.33,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,420.0,26.0,125.0,2048.0,0.0,40.0,4096.0,0.0,218.0,0.0,1.0,63.0
461,SWK,8190.0,6994.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,120.66,2.4,0.34,221.0,5.0,187.32,161500000.0,207.54,0.18,0.91,189.81,0.04,901496.0,214.83,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,383.0,27.0,101.0,2048.0,0.0,38.0,4096.0,0.0,275.0,0.0,1.0,25.0
449,TROW,8190.0,6805.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,114.19,1.25,0.25,191.0,5.0,161.92,227700000.0,180.62,0.23,0.73,168.38,0.06,608737.0,191.47,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,298.0,82.0,4.0,2048.0,0.0,43.0,4096.0,0.0,218.0,0.0,4.0,12.0
297,SCHW,8190.0,6803.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,31.75,0.25,0.75,73.0,4.0,58.79,1880000000.0,68.32,0.38,0.74,62.58,0.05,5784745.0,73.0,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,376.0,132.0,389.0,1536.0,0.0,43.0,4096.0,0.0,221.0,1.0,8.0,1.0
