,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),week52_high,SMA200_value,SMA150_value,prev_close,volume,Sales_QoQ_percent,Inst. Ownership,SMA50_percent,week52_low,EPS_QoQ_percent,Relative Strength Value,SMA50_value,Shares Outstanding,SMA200_percent,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,week52_span_rule_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,close_above_52weekhigh_rule_nvalue,prev_close_rule_nvalue,SMA200_slope_rul_nvalue,inst_ownership_rule_nvalue,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule_nvalue,SMA50_greater_SMA150_rule_score,SMA150_greater_SMA200_rule_score,week52_span_rule_score,rs_value_rule_score,liquidity_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA200_slope_rul_score,inst_ownership_rule_score,close_greater_SMA50_rule_score,sales_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_score
479,EFX,8190.0,14698.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,240.0,182.7,189.28,237.02,466506.0,0.27,0.94,0.22,136.6,0.78,20.0,208.28,121800000.0,0.36,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,411.0,74.0,55.0,9728.0,0.0,41.0,4096.0,0.0,285.0,1.0,0.0,7.0
311,CCS,8190.0,14618.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,80.0,54.11,57.83,74.1,677546.0,0.67,0.96,0.19,22.92,2.84,17.0,67.84,33560000.0,0.57,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,709.0,141.0,1121.0,8192.0,0.0,30.0,4096.0,0.0,291.0,1.0,7.0,30.0
494,MED,8190.0,13855.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,297.0,221.05,235.38,286.39,157770.0,0.91,0.89,0.24,88.29,1.21,17.0,238.89,11770000.0,0.46,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,61.0,133.0,1043.0,8192.0,0.0,37.0,4096.0,0.0,269.0,2.0,11.0,11.0
168,FCX,8190.0,13558.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,45.0,30.21,33.24,41.97,21451491.0,0.73,0.8,0.16,8.29,2.42,13.0,37.27,1460000000.0,0.65,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,497.0,205.0,2311.0,6144.0,0.0,31.0,4096.0,0.0,240.0,1.0,8.0,25.0
188,DISH,8190.0,13491.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,47.0,34.65,35.53,44.62,1845643.0,0.4,0.86,0.17,24.62,6.91,17.0,40.73,526570000.00000006,0.36,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,599.0,52.0,149.0,8192.0,0.0,34.0,4096.0,32.0,259.0,1.0,2.0,75.0
88,X,8190.0,12452.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,29.0,18.72,20.75,25.72,24587585.0,0.33,0.57,0.1,6.66,1.15,12.0,24.04,269660000.0,0.66,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,649.0,222.0,1651.0,5632.0,0.0,23.0,4096.0,0.0,166.0,1.0,1.0,11.0
252,ATH,8190.0,12319.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,63.0,46.92,49.05,60.88,1334009.0,1.65,0.9,0.15,24.49,1.54,14.0,55.87,191300000.0,0.44,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,570.0,93.0,557.0,6656.0,0.0,37.0,4096.0,0.0,272.0,1.0,22.0,15.0
266,LPX,8190.0,12293.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,74.0,46.22,50.6,65.79,2025227.0,0.74,0.97,0.09,19.2,9.27,11.0,64.34,106000000.0,0.58,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1112.0,194.0,1344.0,5120.0,0.0,24.0,4096.0,0.0,294.0,0.0,8.0,101.0
328,HES,8190.0,12123.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,84.0,60.89,65.94,79.46,1948176.0,0.4,0.85,0.16,36.12,1.1,14.0,73.89,305800000.0,0.51,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,494.0,170.0,405.0,6656.0,0.0,33.0,4096.0,0.0,256.0,1.0,2.0,10.0
115,CLR,8190.0,11761.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,32.0,21.67,23.86,29.61,1647854.0,0.38,0.16,0.15,11.76,2.41,13.0,27.2,360790000.0,0.61,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,573.0,207.0,648.0,6144.0,0.0,30.0,4096.0,0.0,35.0,1.0,2.0,25.0
152,VSTO,8190.0,11713.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,37.0,28.32,30.85,36.36,784205.0,0.35,0.93,0.15,7.14,4.2,10.0,33.08,58300000.0,0.46,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,296.0,183.0,2160.0,4608.0,0.0,40.0,4096.0,0.0,282.0,1.0,2.0,45.0
371,AN,8190.0,11713.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,107.0,78.72,84.29,103.26,440498.0,0.27,0.91,0.11,35.17,2.11,12.0,97.91,83100000.0,0.47,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,662.0,145.0,845.0,5632.0,0.0,37.0,4096.0,0.0,275.0,0.0,0.0,21.0
244,HZO,8190.0,11664.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,66.0,43.98,48.2,59.33,486403.0,0.7,0.99,0.11,14.14,6.34,10.0,54.28,22140000.0,0.55,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,517.0,197.0,1844.0,4608.0,0.0,25.0,4096.0,0.0,301.0,1.0,7.0,68.0
130,ELY,8190.0,11635.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,34.0,25.92,28.14,32.58,2123592.0,0.47,0.66,0.17,11.5,6.24,13.0,29.0,117480000.0,0.42,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,125.0,175.0,792.0,6144.0,0.0,36.0,4096.0,0.0,195.0,1.0,4.0,67.0
50,CLF,8190.0,11361.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,21.0,15.05,16.73,19.8,28760420.0,10.28,0.59,0.11,4.09,1.41,9.0,18.48,490000000.0,0.57,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,428.0,229.0,2131.0,4096.0,0.0,33.0,4096.0,0.0,173.0,1.0,160.0,14.0
293,XEC,8190.0,11318.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,71.0,49.59,55.16,67.91,982440.0,0.44,0.96,0.12,23.35,1.16,11.0,64.42,100130000.0,0.69,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,688.0,230.0,844.0,5120.0,0.0,35.0,4096.0,0.0,291.0,0.0,3.0,11.0
157,TRGP,8190.0,11280.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,39.0,28.98,31.41,37.48,1430548.0,0.77,0.87,0.15,13.58,1.06,12.0,33.89,228500000.0,0.53,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,323.0,172.0,740.0,5632.0,0.0,36.0,4096.0,0.0,262.0,1.0,8.0,10.0
339,YETI,8190.0,11185.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,90.0,71.14,75.14,85.82,2543701.0,0.42,0.99,0.12,26.13,2.56,11.0,82.42,87180000.0,0.38,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,397.0,115.0,1092.0,5120.0,0.0,35.0,4096.0,0.0,301.0,0.0,3.0,26.0
136,BEN,8190.0,11179.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,35.0,26.47,28.16,34.08,1880472.0,0.58,0.49,0.15,17.76,3.73,13.0,30.89,490500000.0,0.39,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,397.0,131.0,187.0,6144.0,0.0,38.0,4096.0,0.0,141.0,1.0,5.0,39.0
285,BCC,8190.0,10491.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,76.0,53.15,56.71,71.23,671133.0,0.56,0.98,0.1,28.46,0.78,10.0,66.27,39350000.0,0.4,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,690.0,137.0,617.0,4608.0,0.0,32.0,4096.0,0.0,298.0,1.0,5.0,7.0
144,MOS,8190.0,10369.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,37.0,27.41,29.96,34.68,4525590.0,0.28,0.77,0.11,10.08,1.68,9.0,33.44,379200000.0,0.49,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,476.0,191.0,1231.0,4096.0,0.0,32.0,4096.0,0.0,230.0,0.0,0.0,17.0
340,AMN,8190.0,10349.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,93.0,72.79,75.48,87.28,324989.0,0.47,1.0,0.14,38.66,4.4,11.0,79.45,47600000.0,0.31,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,215.0,76.0,454.0,5120.0,0.0,32.0,4096.0,0.0,304.0,1.0,4.0,47.0
189,PPD,8190.0,10274.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,46.0,37.2,38.18,46.09,2551471.0,0.3,0.78,0.12,25.22,8.94,11.0,43.13,349880000.0,0.28,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,531.0,54.0,97.0,5120.0,0.0,43.0,4096.0,0.0,234.0,1.0,1.0,97.0
323,UFPI,8190.0,9833.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,89.0,64.03,67.68,82.36,290892.0,0.77,0.85,0.08,38.03,1.55,9.0,80.91,61750000.0,0.34,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,801.0,117.0,414.0,4096.0,0.0,30.0,4096.0,0.0,256.0,0.0,8.0,15.0
59,VALE,8190.0,9776.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,23.0,16.89,18.12,21.27,29931982.0,1.22,0.23,0.12,8.24,30.06,9.0,19.48,5130000000.0,0.4,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,307.0,149.0,691.0,4096.0,0.0,30.0,4096.0,0.0,58.0,1.0,16.0,332.0
273,ADM,8190.0,9612.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,68.0,54.58,56.31,67.14,1745730.0,0.26,0.81,0.13,34.12,0.79,10.0,61.13,563000000.0,0.3,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,351.0,65.0,200.0,4608.0,0.0,41.0,4096.0,0.0,243.0,1.0,0.0,7.0
392,EXPD,8190.0,9558.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,120.0,97.86,100.7,118.5,706422.0,0.77,0.97,0.11,71.51,1.35,10.0,111.29,169210000.0,0.26,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,431.0,59.0,7.0,4608.0,0.0,41.0,4096.0,0.0,294.0,1.0,8.0,13.0
134,CNQ,8190.0,9343.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,34.0,26.46,28.31,33.03,2892467.0,0.47,0.67,0.11,15.54,2.07,9.0,31.26,1190000000.0,0.44,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,427.0,143.0,320.0,4096.0,0.0,38.0,4096.0,0.0,198.0,0.0,4.0,21.0
376,FBHS,8190.0,9288.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,112.0,90.57,92.96,107.36,480492.0,0.26,0.9,0.1,51.64,0.63,9.0,102.49,138600000.0,0.22,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,420.0,54.0,309.0,4096.0,0.0,36.0,4096.0,0.0,272.0,0.0,0.0,5.0
345,BG,8190.0,9140.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,91.0,71.99,76.18,89.31,777871.0,0.41,0.82,0.11,34.33,4.75,8.0,83.55,140340000.0,0.41,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,396.0,119.0,605.0,3584.0,0.0,39.0,4096.0,0.0,246.0,1.0,3.0,51.0
423,EVR,8190.0,8939.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,148.0,116.36,125.59,143.0,683992.0,0.54,0.89,0.08,48.15,3.41,7.0,137.79,41360000.0,0.47,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,398.0,162.0,864.0,3072.0,0.0,37.0,4096.0,0.0,269.0,0.0,5.0,36.0
64,APA,8190.0,8653.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,23.0,16.48,18.12,20.4,5537716.0,0.39,0.85,0.11,7.79,1.09,7.0,19.0,378000000.0,0.41,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,199.0,204.0,790.0,3072.0,0.0,23.0,4096.0,0.0,256.0,1.0,2.0,10.0
226,KKR,8190.0,8607.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,59.0,44.72,47.05,55.12,2314866.0,1.76,0.82,0.08,24.73,2.15,7.0,53.56,576730000.0,0.34,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,567.0,107.0,442.0,3072.0,0.0,31.0,4096.0,0.0,246.0,0.0,24.0,22.0
218,AVNT,8190.0,8584.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,54.0,43.21,45.82,52.77,275324.0,0.63,0.98,0.08,21.06,1.25,7.0,50.14,91300000.0,0.4,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,386.0,124.0,551.0,3072.0,0.0,39.0,4096.0,0.0,298.0,0.0,6.0,12.0
56,SWBI,8190.0,8538.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,23.0,17.7,18.23,19.76,1539586.0,1.02,0.69,0.11,7.34,9.89,7.0,18.37,55140000.0,0.15,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,31.0,61.0,901.0,3072.0,0.0,19.0,4096.0,32.0,205.0,1.0,12.0,108.0
406,AFG,8190.0,8529.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,130.0,101.5,106.97,129.1,446653.0,0.41,0.64,0.09,54.44,2.98,7.0,121.15,85900000.0,0.45,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,543.0,110.0,443.0,3072.0,0.0,41.0,4096.0,0.0,189.0,1.0,3.0,31.0
299,SCHW,8190.0,8358.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,73.0,58.03,61.98,70.43,8797625.0,0.75,0.74,0.09,31.75,0.25,7.0,67.95,1880000000.0,0.43,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,395.0,139.0,389.0,3072.0,0.0,37.0,4096.0,0.0,221.0,0.0,8.0,1.0
46,FHN,8190.0,8145.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,19.0,15.05,16.09,18.7,4022093.0,0.46,0.87,0.09,7.68,9.47,6.0,17.83,552250000.0,0.43,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,443.0,142.0,496.0,2560.0,0.0,40.0,4096.0,0.0,262.0,0.0,3.0,103.0
503,LII,8190.0,8116.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,354.0,298.28,301.63,347.93,164803.0,0.29,0.73,0.09,180.92,5.82,7.0,332.95,38000000.0,0.2,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,425.0,23.0,178.0,3072.0,0.0,40.0,4096.0,0.0,218.0,0.0,1.0,63.0
196,FNF,8190.0,8022.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,47.0,39.45,40.99,45.87,1111372.0,0.92,0.84,0.1,25.01,1.36,7.0,44.26,289000000.0,0.26,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,327.0,80.0,131.0,3072.0,0.0,39.0,4096.0,0.0,253.0,0.0,11.0,13.0
504,GS,8190.0,7801.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,371.0,290.7,314.34,358.81,2726642.0,0.58,0.74,0.08,171.87,4.98,6.0,341.95,356600000.0,0.4,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,360.0,167.0,302.0,2560.0,0.0,37.0,4096.0,0.0,221.0,0.0,5.0,53.0
472,SWK,8190.0,7686.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,221.0,186.35,188.98,216.1,903715.0,0.34,0.91,0.07,104.45,2.4,6.0,206.74,161500000.0,0.21,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,385.0,29.0,276.0,2560.0,0.0,39.0,4096.0,0.0,275.0,0.0,1.0,25.0
377,BC,8190.0,7585.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,116.0,88.5,94.35,109.69,563212.0,0.48,1.0,0.06,45.96,1.44,5.0,104.12,78200000.0,0.35,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,424.0,135.0,527.0,2048.0,0.0,33.0,4096.0,0.0,304.0,0.0,4.0,14.0
486,MOH,8190.0,7451.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,269.0,224.14,229.48,265.04,236417.0,0.43,0.97,0.07,153.07,0.33,6.0,249.09,57700000.0,0.22,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,350.0,49.0,56.0,2560.0,0.0,40.0,4096.0,0.0,294.0,1.0,3.0,2.0
222,OKE,8190.0,7351.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,54.0,43.5,46.67,52.78,2286030.0,0.49,0.68,0.07,24.48,3.52,5.0,51.74,445890000.0,0.41,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,445.0,149.0,331.0,2048.0,0.0,39.0,4096.0,0.0,202.0,0.0,4.0,37.0
105,MPLX,8190.0,7325.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,29.0,23.84,25.02,28.47,3616775.0,1.36,0.29,0.08,15.51,1.26,6.0,26.83,1040000000.0,0.31,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,296.0,101.0,125.0,2560.0,0.0,40.0,4096.0,0.0,77.0,0.0,18.0,12.0
489,LH,8190.0,7051.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,278.0,229.98,239.19,276.57,522426.0,0.47,0.93,0.08,157.09,3.39,5.0,262.41,98500000.0,0.27,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,398.0,82.0,63.0,2048.0,0.0,42.0,4096.0,0.0,282.0,0.0,4.0,36.0
344,SSB,8190.0,6926.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,92.0,77.38,80.44,89.09,202337.0,0.88,0.8,0.08,43.36,1.88,5.0,82.67,71010000.0,0.29,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,114.0,81.0,280.0,2048.0,0.0,37.0,4096.0,0.0,240.0,1.0,10.0,19.0
457,TROW,8190.0,6825.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,191.0,160.85,167.28,188.81,676992.0,0.25,0.73,0.08,112.57,1.25,5.0,179.79,227700000.0,0.25,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,306.0,82.0,18.0,2048.0,0.0,41.0,4096.0,0.0,218.0,0.0,4.0,12.0
240,PCH,8190.0,6730.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,63.0,51.49,53.81,59.62,345917.0,0.7,0.88,0.06,30.55,8.77,4.0,58.55,67210000.0,0.22,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,361.0,92.0,243.0,1536.0,0.0,34.0,4096.0,0.0,266.0,0.0,7.0,95.0
334,MS,8190.0,6675.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,88.0,72.18,77.02,84.86,7713460.0,0.35,0.67,0.07,37.29,1.17,4.0,81.38,1790000000.0,0.34,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,232.0,137.0,426.0,1536.0,0.0,37.0,4096.0,0.0,198.0,0.0,2.0,11.0
390,ARW,8190.0,6581.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,119.0,102.05,106.73,116.34,448354.0,0.31,0.99,0.06,61.43,3.46,4.0,114.87,74880000.0,0.26,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,312.0,94.0,166.0,1536.0,0.0,39.0,4096.0,0.0,301.0,0.0,1.0,36.0
