,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),SMA50_percent,SMA200_value,Inst. Ownership,EPS_QoQ_percent,week52_high,SMA50_value,SMA200_percent,week52_low,volume,Shares Outstanding,SMA150_value,prev_close,Relative Strength Value,Sales_QoQ_percent,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,week52_span_rule_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,close_above_52weekhigh_rule_nvalue,prev_close_rule_nvalue,SMA200_slope_rul_nvalue,inst_ownership_rule_nvalue,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule_nvalue,SMA50_greater_SMA150_rule_score,SMA150_greater_SMA200_rule_score,week52_span_rule_score,rs_value_rule_score,liquidity_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA200_slope_rul_score,inst_ownership_rule_score,close_greater_SMA50_rule_score,sales_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_score
414,MTZ,8190.0,15934.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.21,81.87,0.84,0.85,120.0,103.3,0.72,36.48,748484.0,72440000.0,90.02,118.41,20.0,0.25,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,604.0,204.0,997.0,9728.0,0.0,40.0,4096.0,0.0,253.0,1.0,4.0,7.0
513,MED,8190.0,15910.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.28,223.2,0.89,1.21,307.0,241.69,0.51,91.52,157626.0,11770000.0,237.12,297.0,21.0,0.91,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,79.0,128.0,1037.0,10240.0,0.0,37.0,4096.0,0.0,269.0,2.0,11.0,11.0
279,KTB,8190.0,15581.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.15,47.25,0.92,7.91,67.0,60.25,0.65,14.04,324320.0,57340000.0,49.62,65.43,17.0,0.29,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,877.0,103.0,1908.0,8192.0,0.0,39.0,4096.0,0.0,278.0,1.0,1.0,86.0
187,FCX,8190.0,15441.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.21,30.6,0.8,2.42,45.0,37.76,0.72,8.74,25713082.0,1460000000.0,33.6,42.29,17.0,0.73,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,507.0,201.0,2139.0,8192.0,0.0,32.0,4096.0,0.0,240.0,1.0,8.0,25.0
65,CLF,8190.0,14725.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.18,15.24,0.59,1.41,21.0,18.69,0.68,4.4,27007831.0,490000000.0,16.86,19.51,16.0,10.28,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,445.0,218.0,1908.0,7680.0,0.0,31.0,4096.0,0.0,173.0,0.0,160.0,14.0
496,EFX,8190.0,14222.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.2,183.89,0.94,0.78,240.0,210.75,0.35,136.6,437339.0,121800000.0,189.63,239.41,19.0,0.27,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,456.0,64.0,55.0,9216.0,0.0,42.0,4096.0,0.0,285.0,1.0,0.0,7.0
97,X,8190.0,13982.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.13,18.98,0.57,1.15,29.0,24.25,0.71,6.66,21785209.0,269660000.0,20.87,25.5,15.0,0.33,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,663.0,204.0,1651.0,7168.0,0.0,22.0,4096.0,0.0,166.0,0.0,1.0,11.0
325,CCS,8190.0,13837.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.17,54.55,0.96,2.84,80.0,68.56,0.55,26.41,287674.0,33560000.0,58.39,77.66,16.0,0.67,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,713.0,144.0,837.0,7680.0,0.0,38.0,4096.0,0.0,291.0,1.0,7.0,30.0
346,HES,8190.0,13690.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.18,61.6,0.85,1.1,86.0,74.44,0.55,36.12,1930418.0,305800000.0,66.42,84.33,17.0,0.4,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,495.0,160.0,439.0,8192.0,0.0,39.0,4096.0,0.0,256.0,1.0,2.0,10.0
314,XEC,8190.0,13427.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.16,50.3,0.96,1.16,74.0,64.97,0.75,23.35,950368.0,100130000.0,55.8,71.49,15.0,0.44,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,673.0,224.0,923.0,7168.0,0.0,37.0,4096.0,0.0,291.0,1.0,3.0,11.0
125,CLR,8190.0,12772.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.16,21.95,0.16,2.41,32.0,27.39,0.62,11.76,1795329.0,360790000.0,24.12,31.48,15.0,0.38,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,555.0,202.0,648.0,7168.0,0.0,40.0,4096.0,0.0,35.0,1.0,2.0,25.0
191,DISH,8190.0,12447.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.14,34.92,0.86,6.91,47.0,41.12,0.34,24.81,2544185.0,526570000.00000006,35.7,45.82,15.0,0.4,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,622.0,46.0,140.0,7168.0,0.0,38.0,4096.0,0.0,259.0,1.0,2.0,75.0
139,ELY,8190.0,12372.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.19,26.15,0.66,6.24,34.0,29.26,0.44,13.77,2571207.0,117480000.0,28.32,33.82,15.0,0.47,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,136.0,170.0,493.0,7168.0,0.0,42.0,4096.0,0.0,195.0,1.0,4.0,67.0
265,ATH,8190.0,12238.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.14,47.35,0.9,1.54,63.0,56.4,0.43,26.0,720139.0,191300000.0,49.37,62.23,14.0,1.65,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,583.0,87.0,465.0,6656.0,0.0,41.0,4096.0,0.0,272.0,1.0,22.0,15.0
159,VSTO,8190.0,12167.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.15,28.54,0.93,4.2,38.0,33.37,0.46,7.46,1044766.0,58300000.0,31.21,37.45,11.0,0.35,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,283.0,192.0,2106.0,5120.0,0.0,40.0,4096.0,0.0,282.0,1.0,2.0,45.0
166,TRGP,8190.0,11789.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.16,29.34,0.87,1.06,39.0,34.13,0.54,13.58,1329413.0,228500000.0,31.58,38.52,13.0,0.77,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,331.0,156.0,740.0,6144.0,0.0,41.0,4096.0,0.0,262.0,1.0,8.0,10.0
392,AN,8190.0,11672.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.11,79.35,0.91,2.11,107.0,98.48,0.46,35.78,410184.0,83100000.0,85.02,105.29,12.0,0.27,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,648.0,146.0,813.0,5632.0,0.0,40.0,4096.0,0.0,275.0,1.0,0.0,21.0
68,VALE,8190.0,11192.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.14,17.05,0.23,30.06,23.0,19.71,0.44,8.98,37236688.0,5130000000.0,18.19,21.03,12.0,1.22,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,342.0,137.0,550.0,5632.0,0.0,28.0,4096.0,0.0,58.0,1.0,16.0,332.0
140,BEN,8190.0,11173.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.14,26.66,0.49,3.73,35.0,31.09,0.39,17.89,4203569.0,490500000.0,28.32,34.54,13.0,0.58,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,401.0,128.0,178.0,6144.0,0.0,40.0,4096.0,0.0,141.0,1.0,5.0,39.0
192,CWH,8190.0,10871.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.11,34.98,0.82,7.44,48.0,41.89,0.35,17.81,1178875.0,43580000.0,37.06,45.77,11.0,0.52,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,534.0,122.0,632.0,5120.0,0.0,35.0,4096.0,0.0,246.0,1.0,4.0,81.0
154,MOS,8190.0,10698.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.12,27.69,0.77,1.68,37.0,33.69,0.51,10.96,4220203.0,379200000.0,30.24,36.49,10.0,0.28,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,467.0,189.0,1050.0,4608.0,0.0,40.0,4096.0,0.0,230.0,1.0,0.0,17.0
274,LPX,8190.0,10467.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.06,46.74,0.97,9.27,74.0,64.89,0.55,21.78,2439581.0,106000000.0,51.09,65.85,8.0,0.74,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1106.0,191.0,1063.0,3584.0,0.0,24.0,4096.0,0.0,294.0,0.0,8.0,101.0
143,CNQ,8190.0,10391.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.13,26.75,0.67,2.07,35.0,31.4,0.46,15.54,2329226.0,1190000000.0,28.49,34.38,11.0,0.47,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,418.0,133.0,360.0,5120.0,0.0,40.0,4096.0,0.0,198.0,1.0,4.0,21.0
195,PPD,8190.0,10298.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.12,37.34,0.78,8.94,46.0,43.55,0.27,25.22,3473481.0,349880000.0,38.35,46.12,11.0,0.3,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,555.0,55.0,97.0,5120.0,0.0,43.0,4096.0,0.0,234.0,0.0,1.0,97.0
251,HZO,8190.0,10250.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.08,44.44,0.99,6.34,66.0,54.6,0.51,16.24,560476.0,22140000.0,48.71,60.43,8.0,0.7,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,495.0,197.0,1473.0,3584.0,0.0,28.0,4096.0,0.0,301.0,1.0,7.0,68.0
355,AMN,8190.0,10237.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.14,73.07,1.0,4.4,93.0,80.0,0.31,42.3,241452.0,47600000.0,75.81,89.07,11.0,0.47,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,226.0,77.0,327.0,5120.0,0.0,35.0,4096.0,0.0,304.0,1.0,4.0,47.0
72,APA,8190.0,10181.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.14,16.7,0.85,1.09,23.0,19.11,0.45,7.79,8474426.0,378000000.0,18.23,21.56,10.0,0.39,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,198.0,188.0,790.0,4608.0,0.0,32.0,4096.0,0.0,256.0,1.0,2.0,10.0
416,EXPD,8190.0,10081.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.11,98.14,0.97,1.35,121.0,111.88,0.27,71.92,1214303.0,169210000.0,101.15,119.61,11.0,0.77,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,435.0,63.0,10.0,5120.0,0.0,41.0,4096.0,0.0,294.0,1.0,8.0,13.0
294,BCC,8190.0,9874.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.08,53.59,0.98,0.78,76.0,66.83,0.39,30.41,449360.0,39350000.0,57.08,69.67,9.0,0.56,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,700.0,133.0,511.0,4096.0,0.0,28.0,4096.0,0.0,298.0,0.0,5.0,7.0
289,ADM,8190.0,9597.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.13,54.77,0.81,0.79,68.0,61.53,0.3,34.82,1914300.0,563000000.0,56.62,67.66,10.0,0.26,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,355.0,69.0,176.0,4608.0,0.0,42.0,4096.0,0.0,243.0,1.0,0.0,7.0
344,YETI,8190.0,9532.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.09,71.67,0.99,2.56,90.0,83.19,0.33,28.03,2078723.0,87180000.0,75.32,88.55,8.0,0.42,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,428.0,104.0,949.0,3584.0,0.0,40.0,4096.0,0.0,301.0,1.0,3.0,26.0
62,SWBI,8190.0,8963.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.11,17.74,0.69,9.89,23.0,18.49,0.16,7.64,1775767.0,55140000.0,18.28,20.22,8.0,1.02,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,47.0,62.0,826.0,3584.0,0.0,22.0,4096.0,0.0,205.0,1.0,12.0,108.0
115,MPLX,8190.0,8898.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.12,24.04,0.29,1.26,30.0,27.0,0.35,15.51,2798447.0,1040000000.0,25.12,28.69,9.0,1.36,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,307.0,92.0,164.0,4096.0,0.0,35.0,4096.0,0.0,77.0,1.0,18.0,12.0
335,UFPI,8190.0,8704.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.06,64.44,0.85,1.55,89.0,81.48,0.32,41.04,223789.0,61750000.0,68.16,83.14,7.0,0.77,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,800.0,118.0,308.0,3072.0,0.0,31.0,4096.0,0.0,256.0,0.0,8.0,15.0
357,BG,8190.0,8590.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.09,72.46,0.82,4.75,91.0,84.03,0.39,35.14,997786.0,140340000.0,76.65,90.63,7.0,0.41,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,394.0,118.0,567.0,3072.0,0.0,42.0,4096.0,0.0,246.0,1.0,3.0,51.0
54,FHN,8190.0,8530.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.09,15.18,0.87,9.47,19.0,17.91,0.43,8.3,2620933.0,552250000.0,16.22,19.14,7.0,0.46,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,427.0,140.0,382.0,3072.0,0.0,44.0,4096.0,0.0,262.0,1.0,3.0,103.0
427,AFG,8190.0,8477.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.08,102.32,0.64,2.98,130.0,121.66,0.43,55.88,320933.0,85900000.0,107.77,130.17,7.0,0.41,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,528.0,109.0,405.0,3072.0,0.0,43.0,4096.0,0.0,189.0,1.0,3.0,31.0
443,EVR,8190.0,8312.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.07,117.36,0.89,3.41,148.0,138.54,0.45,51.19,378446.0,41360000.0,126.41,147.63,6.0,0.54,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,393.0,158.0,752.0,2560.0,0.0,42.0,4096.0,0.0,269.0,1.0,5.0,36.0
395,FBHS,8190.0,8140.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.08,90.88,0.9,0.63,112.0,103.18,0.2,57.62,623673.0,138600000.0,93.27,107.95,7.0,0.26,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,435.0,54.0,170.0,3072.0,0.0,36.0,4096.0,0.0,272.0,0.0,0.0,5.0
520,LII,8190.0,8069.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.08,299.05,0.73,5.82,354.0,334.33,0.19,189.27,136812.0,38000000.0,302.78,350.84,7.0,0.29,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,427.0,26.0,125.0,3072.0,0.0,41.0,4096.0,0.0,218.0,0.0,1.0,63.0
198,FNF,8190.0,7946.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.08,39.69,0.84,1.36,47.0,44.54,0.25,27.07,1139470.0,289000000.0,41.11,47.02,7.0,0.92,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,342.0,73.0,43.0,3072.0,0.0,43.0,4096.0,0.0,253.0,0.0,11.0,13.0
234,OKE,8190.0,7873.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.08,43.9,0.68,3.52,55.0,51.91,0.42,24.48,2334190.0,445890000.0,46.92,54.35,6.0,0.49,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,436.0,141.0,356.0,2560.0,0.0,41.0,4096.0,0.0,202.0,0.0,4.0,37.0
312,SCHW,8190.0,7837.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.09,58.56,0.74,0.25,73.0,68.24,0.42,31.75,5207044.0,1880000000.0,62.39,73.25,6.0,0.75,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,384.0,134.0,389.0,2560.0,0.0,43.0,4096.0,0.0,221.0,1.0,8.0,1.0
521,GS,8190.0,7744.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.08,293.35,0.74,4.98,371.0,343.48,0.4,177.83,1699756.0,356600000.0,316.97,368.77,6.0,0.58,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,343.0,165.0,258.0,2560.0,0.0,42.0,4096.0,0.0,221.0,1.0,5.0,53.0
248,COP,8190.0,7576.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.08,46.66,0.68,1.47,60.0,52.85,0.35,28.62,11384729.0,1300000000.0,49.55,56.52,6.0,0.61,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,273.0,127.0,264.0,2560.0,0.0,33.0,4096.0,0.0,202.0,1.0,6.0,14.0
417,ARW,8190.0,7564.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.08,102.7,0.99,3.46,121.0,115.45,0.28,64.81,511692.0,74880000.0,107.12,119.02,6.0,0.31,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,319.0,88.0,123.0,2560.0,0.0,40.0,4096.0,0.0,301.0,0.0,1.0,36.0
237,KKR,8190.0,7524.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.07,45.0,0.82,2.15,59.0,53.92,0.32,25.85,1985621.0,576730000.0,47.33,56.14,5.0,1.76,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,570.0,106.0,378.0,2048.0,0.0,34.0,4096.0,0.0,246.0,0.0,24.0,22.0
504,MOH,8190.0,7450.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.08,224.93,0.97,0.33,269.0,250.32,0.23,153.07,133890.0,57700000.0,230.59,260.48,6.0,0.43,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,350.0,52.0,56.0,2560.0,0.0,37.0,4096.0,0.0,294.0,0.0,3.0,2.0
476,TROW,8190.0,7322.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.08,161.5,0.73,1.25,191.0,180.39,0.25,114.19,882891.0,227700000.0,168.01,191.07,6.0,0.25,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,302.0,83.0,4.0,2560.0,0.0,43.0,4096.0,0.0,218.0,0.0,4.0,12.0
350,MS,8190.0,7099.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.08,72.8,0.67,1.17,88.0,81.64,0.34,39.33,7153886.0,1790000000.0,77.5,87.35,5.0,0.35,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,219.0,132.0,351.0,2048.0,0.0,41.0,4096.0,0.0,198.0,1.0,2.0,11.0
454,MRNA,8190.0,7060.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.07,138.47,0.55,9.07,186.0,156.2,0.38,52.18,4212578.0,400000000.0,147.38,161.38,2.0,39.61,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,245.0,132.0,1166.0,512.0,0.0,20.0,4096.0,0.0,160.0,0.0,630.0,99.0
466,NVCR,8190.0,7030.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.07,158.24,0.73,0.45,218.0,176.71,0.25,57.2,517569.0,102630000.0,166.49,179.27,3.0,0.32,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,251.0,107.0,1318.0,1024.0,0.0,12.0,4096.0,0.0,218.0,0.0,1.0,3.0
