,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),SMA200_percent,Relative Strength Value,week52_low,Sales_QoQ_percent,EPS_QoQ_percent,volume,SMA150_value,Inst. Ownership,week52_high,SMA50_percent,SMA200_value,SMA50_value,Shares Outstanding,prev_close,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,week52_span_rule_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,close_above_52weekhigh_rule_nvalue,prev_close_rule_nvalue,SMA200_slope_rul_nvalue,inst_ownership_rule_nvalue,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule_nvalue,SMA50_greater_SMA150_rule_score,SMA150_greater_SMA200_rule_score,week52_span_rule_score,rs_value_rule_score,liquidity_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA200_slope_rul_score,inst_ownership_rule_score,close_greater_SMA50_rule_score,sales_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_score
113,CLR,8190.0,11758.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.61,13.0,11.76,0.38,2.41,1647854.0,23.86,0.15,32.0,0.15,21.67,27.2,360790000.0,29.61,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,573.0,207.0,648.0,6144.0,0.0,30.0,4096.0,0.0,32.0,1.0,2.0,25.0
369,AN,8190.0,11720.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.47,12.0,35.17,0.27,2.11,440498.0,84.29,0.93,107.0,0.11,78.72,97.91,83100000.0,103.26,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,662.0,145.0,845.0,5632.0,0.0,37.0,4096.0,0.0,282.0,0.0,0.0,21.0
151,VSTO,8190.0,11716.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.46,10.0,7.14,0.35,4.2,784205.0,30.85,0.94,37.0,0.15,28.32,33.08,58300000.0,36.36,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,296.0,183.0,2160.0,4608.0,0.0,40.0,4096.0,0.0,285.0,1.0,2.0,45.0
242,HZO,8190.0,11664.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.55,10.0,14.14,0.7,6.34,486403.0,48.2,0.99,66.0,0.11,43.98,54.28,22140000.0,59.33,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,517.0,197.0,1844.0,4608.0,0.0,25.0,4096.0,0.0,301.0,1.0,7.0,68.0
49,CLF,8190.0,11364.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.57,9.0,4.09,10.28,1.41,28760420.0,16.73,0.6,21.0,0.11,15.05,18.48,490000000.0,19.8,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,428.0,229.0,2131.0,4096.0,0.0,33.0,4096.0,0.0,176.0,1.0,160.0,14.0
291,XEC,8190.0,11315.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.69,11.0,23.35,0.44,1.16,982440.0,55.16,0.95,71.0,0.12,49.59,64.42,100130000.0,67.91,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,688.0,230.0,844.0,5120.0,0.0,35.0,4096.0,0.0,288.0,0.0,3.0,11.0
336,YETI,8190.0,11289.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.38,11.0,26.13,0.26,12.16,2543701.0,75.14,0.99,90.0,0.12,71.14,82.42,87110000.0,85.82,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,397.0,115.0,1092.0,5120.0,0.0,35.0,4096.0,0.0,301.0,0.0,0.0,133.0
156,TRGP,8190.0,11274.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.53,12.0,13.58,0.77,1.06,1430548.0,31.41,0.85,39.0,0.15,28.98,33.89,228500000.0,37.48,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,323.0,172.0,740.0,5632.0,0.0,36.0,4096.0,0.0,256.0,1.0,8.0,10.0
134,BEN,8190.0,11176.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.39,13.0,17.76,0.58,3.73,1880472.0,28.16,0.48,35.0,0.15,26.47,30.89,490500000.0,34.08,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,397.0,131.0,187.0,6144.0,0.0,38.0,4096.0,0.0,138.0,1.0,5.0,39.0
283,BCC,8190.0,10494.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.4,10.0,28.46,0.56,0.78,671133.0,56.71,0.99,76.0,0.1,53.15,66.27,39350000.0,71.23,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,690.0,137.0,617.0,4608.0,0.0,32.0,4096.0,0.0,301.0,1.0,5.0,7.0
143,MOS,8190.0,10373.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.49,9.0,10.08,0.28,1.68,4525590.0,29.96,0.78,37.0,0.11,27.41,33.44,379200000.0,34.68,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,476.0,191.0,1231.0,4096.0,0.0,32.0,4096.0,0.0,234.0,0.0,0.0,17.0
188,PPD,8190.0,10274.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.28,11.0,25.22,0.3,8.94,2551471.0,38.18,0.78,46.0,0.12,37.2,43.13,349880000.0,46.09,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,531.0,54.0,97.0,5120.0,0.0,43.0,4096.0,0.0,234.0,1.0,1.0,97.0
321,UFPI,8190.0,9830.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.34,9.0,38.03,0.77,1.55,290892.0,67.68,0.84,89.0,0.08,64.03,80.91,59990000.0,82.36,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,801.0,117.0,414.0,4096.0,0.0,30.0,4096.0,0.0,253.0,0.0,8.0,15.0
58,VALE,8190.0,9776.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.4,9.0,8.24,1.22,30.06,29931982.0,18.12,0.23,23.0,0.12,16.89,19.48,5130000000.0,21.27,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,307.0,149.0,691.0,4096.0,0.0,30.0,4096.0,0.0,58.0,1.0,16.0,332.0
332,BX,8190.0,9639.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.37,10.0,49.95,0.73,0.5,2807489.0,72.74,0.62,90.0,0.11,68.95,81.82,702580000.0,85.41,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,511.0,113.0,83.0,4608.0,0.0,34.0,4096.0,0.0,182.0,0.0,8.0,4.0
271,ADM,8190.0,9612.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.3,10.0,34.12,0.26,0.79,1745730.0,56.31,0.81,68.0,0.13,54.58,61.13,563000000.0,67.14,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,351.0,65.0,200.0,4608.0,0.0,41.0,4096.0,0.0,243.0,1.0,0.0,7.0
390,EXPD,8190.0,9558.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.26,10.0,71.51,0.77,1.35,706422.0,100.7,0.97,120.0,0.11,97.86,111.29,169210000.0,118.5,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,431.0,59.0,7.0,4608.0,0.0,41.0,4096.0,0.0,294.0,1.0,8.0,13.0
132,CNQ,8190.0,9343.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.44,9.0,15.54,0.47,2.07,2892467.0,28.31,0.67,34.0,0.11,26.46,31.26,1190000000.0,33.03,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,427.0,143.0,320.0,4096.0,0.0,38.0,4096.0,0.0,198.0,0.0,4.0,21.0
374,FBHS,8190.0,9288.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.22,9.0,51.64,0.26,0.63,480492.0,92.96,0.9,112.0,0.1,90.57,102.49,138600000.0,107.36,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,420.0,54.0,309.0,4096.0,0.0,36.0,4096.0,0.0,272.0,0.0,0.0,5.0
342,BG,8190.0,9137.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.41,8.0,34.33,0.41,4.75,777871.0,76.18,0.81,91.0,0.11,71.99,83.55,140340000.0,89.31,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,396.0,119.0,605.0,3584.0,0.0,39.0,4096.0,0.0,243.0,1.0,3.0,51.0
421,EVR,8190.0,8939.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.47,7.0,48.15,0.54,3.41,683992.0,125.59,0.89,148.0,0.08,116.36,137.79,41360000.0,143.0,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,398.0,162.0,864.0,3072.0,0.0,37.0,4096.0,0.0,269.0,0.0,5.0,36.0
217,AVNT,8190.0,8580.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.4,7.0,21.06,0.63,1.25,275324.0,45.82,0.97,54.0,0.08,43.21,50.14,91300000.0,52.77,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,386.0,124.0,551.0,3072.0,0.0,39.0,4096.0,0.0,294.0,0.0,6.0,12.0
225,KKR,8190.0,8577.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.34,7.0,24.73,0.84,1.6,2314866.0,47.05,0.79,59.0,0.08,44.72,53.56,570880000.0,55.12,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,567.0,107.0,442.0,3072.0,0.0,31.0,4096.0,0.0,237.0,0.0,9.0,16.0
55,SWBI,8190.0,8538.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.15,7.0,7.34,1.02,9.89,1539586.0,18.23,0.69,23.0,0.11,17.7,18.37,55140000.0,19.76,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,31.0,61.0,901.0,3072.0,0.0,19.0,4096.0,32.0,205.0,1.0,12.0,108.0
45,FHN,8190.0,8139.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.43,6.0,7.68,0.46,9.47,4022093.0,16.09,0.85,19.0,0.09,15.05,17.83,552250000.0,18.7,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,443.0,142.0,496.0,2560.0,0.0,40.0,4096.0,0.0,256.0,0.0,3.0,103.0
501,LII,8190.0,8112.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.2,7.0,180.92,0.29,5.82,164803.0,301.63,0.72,354.0,0.09,298.28,332.95,38000000.0,347.93,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,425.0,23.0,178.0,3072.0,0.0,40.0,4096.0,0.0,214.0,0.0,1.0,63.0
195,FNF,8190.0,8013.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.26,7.0,25.01,0.59,1.36,1111372.0,40.99,0.83,47.0,0.1,39.45,44.26,289000000.0,45.87,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,327.0,80.0,131.0,3072.0,0.0,39.0,4096.0,0.0,250.0,0.0,5.0,13.0
502,GS,8190.0,7798.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.4,6.0,171.87,0.58,4.98,2726642.0,314.34,0.73,371.0,0.08,290.7,341.95,356600000.0,358.81,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,360.0,167.0,302.0,2560.0,0.0,37.0,4096.0,0.0,218.0,0.0,5.0,53.0
470,SWK,8190.0,7686.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.21,6.0,104.45,0.34,2.4,903715.0,188.98,0.91,221.0,0.07,186.35,206.74,161500000.0,216.1,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,385.0,29.0,276.0,2560.0,0.0,39.0,4096.0,0.0,275.0,0.0,1.0,25.0
484,MOH,8190.0,7451.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.22,6.0,153.07,0.43,0.33,236417.0,229.48,0.97,269.0,0.07,224.14,249.09,57700000.0,265.04,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,350.0,49.0,56.0,2560.0,0.0,40.0,4096.0,0.0,294.0,1.0,3.0,2.0
221,OKE,8190.0,7347.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.41,5.0,24.48,0.49,3.52,2286030.0,46.67,0.67,54.0,0.07,43.5,51.74,445890000.0,52.78,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,445.0,149.0,331.0,2048.0,0.0,39.0,4096.0,0.0,198.0,0.0,4.0,37.0
103,MPLX,8190.0,7325.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.31,6.0,15.51,1.36,1.26,3616775.0,25.02,0.29,29.0,0.08,23.84,26.83,1040000000.0,28.47,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,296.0,101.0,125.0,2560.0,0.0,40.0,4096.0,0.0,77.0,0.0,18.0,12.0
487,LH,8190.0,7051.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.27,5.0,157.09,0.47,3.39,522426.0,239.19,0.93,278.0,0.08,229.98,262.41,98500000.0,276.57,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,398.0,82.0,63.0,2048.0,0.0,42.0,4096.0,0.0,282.0,0.0,4.0,36.0
455,TROW,8190.0,6825.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.25,5.0,112.57,0.25,1.25,676992.0,167.28,0.73,191.0,0.08,160.85,179.79,227700000.0,188.81,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,306.0,82.0,18.0,2048.0,0.0,41.0,4096.0,0.0,218.0,0.0,4.0,12.0
240,PCH,8190.0,6730.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.22,4.0,30.55,0.7,8.77,345917.0,53.81,0.88,63.0,0.06,51.49,58.55,67210000.0,59.62,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,361.0,92.0,243.0,1536.0,0.0,34.0,4096.0,0.0,266.0,0.0,7.0,95.0
331,MS,8190.0,6672.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.34,4.0,37.29,0.35,1.17,7713460.0,77.02,0.66,88.0,0.07,72.18,81.38,1790000000.0,84.86,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,232.0,137.0,426.0,1536.0,0.0,37.0,4096.0,0.0,195.0,0.0,2.0,11.0
388,ARW,8190.0,6584.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.26,4.0,61.43,0.31,3.46,448354.0,106.73,1.0,119.0,0.06,102.05,114.87,74880000.0,116.34,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,312.0,94.0,166.0,1536.0,0.0,39.0,4096.0,0.0,304.0,0.0,1.0,36.0
496,WAT,8190.0,6476.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.26,4.0,174.76,0.31,1.76,394142.0,279.19,0.92,318.0,0.07,266.53,300.64,62260000.0,315.48,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,315.0,97.0,94.0,1536.0,0.0,41.0,4096.0,0.0,278.0,0.0,1.0,18.0
40,ABR,8190.0,6334.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.27,3.0,6.43,0.42,1.05,1735440.0,15.74,0.42,18.0,0.06,15.09,16.75,119920000.0,17.33,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,263.0,88.0,696.0,1024.0,0.0,36.0,4096.0,0.0,118.0,0.0,3.0,10.0
453,TSCO,8190.0,6109.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.22,3.0,106.83,0.42,1.17,726138.0,165.57,0.92,196.0,0.05,157.8,184.12,116150000.0,186.54,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,459.0,101.0,103.0,1024.0,0.0,34.0,4096.0,0.0,278.0,0.0,3.0,11.0
497,ANET,8190.0,6107.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.21,4.0,195.1,0.28,0.31,374360.0,302.96,0.65,329.0,0.07,291.93,314.52,76310000.0,317.88,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,156.0,77.0,12.0,1536.0,0.0,37.0,4096.0,0.0,192.0,0.0,0.0,1.0
229,COP,8190.0,5532.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.32,2.0,28.62,0.61,1.47,6402289.0,49.26,0.63,60.0,0.05,46.22,52.78,1300000000.0,54.24,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,293.0,135.0,264.0,512.0,0.0,26.0,4096.0,0.0,186.0,0.0,6.0,14.0
413,GRMN,8190.0,5281.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.2,2.0,77.3,0.25,0.36,484087.0,128.09,0.53,144.0,0.05,124.55,137.41,191900000.0,138.09,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,298.0,58.0,121.0,512.0,0.0,36.0,4096.0,0.0,154.0,0.0,4.0,2.0
155,WLL,8188.0,51613.0,11,0,True,True,True,True,True,True,True,True,True,True,True,False,0.34,5.0,0.57,0.26,0.0,506987.0,31.45,0.96,42.0,0.06,28.52,36.78,38700000.0,37.93,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,0,694.0,210.0,44248.0,2048.0,0.0,26.0,4096.0,0.0,291.0,0.0,0.0,0.0
82,FNKO,8188.0,23018.0,11,0,True,True,True,True,True,True,True,True,True,True,True,False,1.15,29.0,4.22,0.38,0.0,1526695.0,15.98,0.73,25.0,0.24,14.06,21.59,36190000.0,23.24,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,0,1438.0,280.0,2616.0,14336.0,0.0,31.0,4096.0,0.0,218.0,1.0,2.0,0.0
22,RRC,8188.0,16709.0,11,0,True,True,True,True,True,True,True,True,True,True,True,False,0.53,23.0,4.91,0.48,-0.84,6829362.0,9.52,0.93,13.0,0.28,8.93,10.22,242160000.0,11.52,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,0,301.0,135.0,603.0,11264.0,0.0,23.0,4096.0,0.0,282.0,1.0,4.0,0.0
